Dataset,MajorityClass,Grassland,Cropland,Wetland,Water,Forest,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVH_M_R,Grassland,0,53,7,11,10,0,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVH_M_R,Wetland,0,103,0,58,36,3,42,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVH_M_R,Built-up,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVH_M_R,Forest,0,55,18,35,0,1,24,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVH_M_R,Cropland,0,0,10,15,9,0,29,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVH_M_R,Bareland,0,30,3,7,7,0,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVH_M_R,Permanent_ice_and_snow,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVH_M_R,Water,19,23,53,0,44,17,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVH_M_R,Cropland,27,0,19,22,21,23,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVH_M_R,Wetland,34,35,0,37,59,17,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVH_M_R,Forest,15,13,9,10,0,7,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVH_M_R,Built-up,3,4,2,3,4,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVH_M_R,Grassland,0,2,3,2,5,6,0,0,0,0,0
