Dataset,MajorityClass,Forest,Wetland,Built-up,Water,Bareland,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Built-up,4,44,0,32,74,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,Grassland,0,140,0,34,0,0,0,992,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,Wetland,0,0,0,112,0,0,0,1204,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,Forest,0,281,0,120,0,0,0,1553,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,Water,0,456,0,0,0,0,0,1306,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,Shrubland,0,0,0,0,0,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,Bareland,0,7,0,1,0,0,0,82,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,Cropland,0,0,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,Built-up,0,9,0,1,0,0,0,80,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Wetland,44,0,2,454,283,480,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Non_Wetland,0,10,0,2,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Forest,0,800,66,347,325,687,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Grassland,12,360,27,83,307,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Water,52,960,8,0,242,405,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Shrubland,0,17,0,4,14,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Cropland,0,4,3,0,32,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Bareland,0,18,0,4,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Built-up,0,38,0,3,84,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRA_M_R,Grassland,0,0,0,448,0,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRA_M_R,Forest,0,0,0,515,0,0,0,0,158,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRA_M_R,Wetland,0,0,0,933,0,0,0,0,290,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRA_M_R,Shrubland,0,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRA_M_R,Bareland,0,0,0,42,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRA_M_R,Water,0,0,0,0,0,0,0,0,311,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRA_M_R,Built-up,0,0,0,27,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRA_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRA_M_R,Forest,0,281,195,120,347,271,388,0,0,23,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRA_M_R,Grassland,202,140,126,34,215,0,386,0,0,16,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRA_M_R,Wetland,168,0,103,112,258,120,289,0,0,1,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRA_M_R,Bareland,9,7,33,1,0,7,53,0,0,1,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRA_M_R,Built-up,24,9,0,1,14,32,67,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRA_M_R,Water,292,456,218,0,366,207,425,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRA_M_R,Cropland,5,0,6,0,3,8,17,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRA_M_R,Grassland,173,460,154,148,2,0,0,0,0,168,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRA_M_R,Wetland,225,0,102,262,12,0,0,0,0,65,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRA_M_R,Bareland,4,37,40,9,0,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRA_M_R,Built-up,1,3,0,0,2,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRA_M_R,Forest,0,487,152,383,5,0,0,0,0,54,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRA_M_R,Water,222,746,109,0,49,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRA_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRA_M_R,Wetland,823,0,0,485,36,331,0,0,0,76,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRA_M_R,Forest,0,10,0,67,1,49,0,0,0,25,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRA_M_R,Bareland,43,3,0,16,0,9,0,0,0,9,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRA_M_R,Water,753,96,0,0,46,121,0,0,0,21,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRA_M_R,Built-up,62,0,0,8,1,2,0,0,0,20,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRA_M_R,Grassland,327,66,0,125,3,0,0,0,0,69,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRA_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRA_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
