Dataset,MajorityClass,Shrubland,Wetland,Forest,Bareland,Built-up,Water,Grassland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Grassland,26,270,26,56,25,100,0,123,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Wetland,1,0,19,3,0,331,186,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Water,0,360,80,2,0,0,362,26,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Shrubland,0,42,7,16,2,22,45,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Bareland,0,26,0,0,11,23,67,26,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Cropland,0,25,0,3,0,2,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Built-up,0,18,3,35,0,5,75,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Permanent_ice_and_snow,0,0,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,Grassland,0,43,0,0,0,26,0,0,662,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,Wetland,0,0,0,0,0,39,0,0,754,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,Water,0,265,0,0,0,0,0,0,520,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,Shrubland,0,0,0,0,0,0,0,0,93,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,Cropland,0,0,0,0,0,0,0,0,74,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,Forest,0,151,0,0,0,99,0,0,725,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,Built-up,0,0,0,0,0,3,0,0,30,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,Bareland,0,15,0,0,0,21,0,0,87,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,Grassland,484,43,223,4,58,26,0,62,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,Wetland,371,0,186,0,17,39,155,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,Forest,471,151,0,1,52,99,225,67,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,Bareland,231,15,56,0,38,21,57,15,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,Water,574,265,315,0,4,0,166,23,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,Cropland,88,0,22,0,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,Built-up,97,0,29,5,0,3,23,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,Permanent_ice_and_snow,12,0,1,1,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,Grassland,0,0,0,0,0,188,0,0,0,35,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,Shrubland,0,0,0,0,0,13,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,Water,0,0,0,0,0,0,0,0,0,238,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,Wetland,0,0,0,0,0,356,0,0,0,98,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,Bareland,0,0,0,0,0,56,0,0,0,13,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,Cropland,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,Forest,0,0,0,0,0,218,0,0,0,90,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,Built-up,0,0,0,0,0,4,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,Grassland,0,63,101,8,94,88,0,127,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,Wetland,0,0,45,9,15,130,0,57,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,Forest,0,80,0,8,123,257,0,50,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,Water,0,172,73,72,29,0,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,Shrubland,0,0,3,0,4,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,Bareland,0,20,21,0,40,27,0,12,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,Cropland,0,5,0,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,Permanent_ice_and_snow,0,1,1,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,Wetland,0,0,156,159,0,154,130,16,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,Shrubland,0,0,15,4,0,2,6,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,Cropland,0,0,11,32,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,Forest,0,13,0,66,0,86,54,37,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,Bareland,0,0,10,0,0,3,2,2,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,Water,0,156,287,157,0,0,80,5,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,Grassland,0,47,176,168,0,82,0,63,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,Built-up,0,0,22,19,0,0,0,4,0,0,6
