Dataset,MajorityClass,Forest,Grassland,Bareland,Water,Wetland,Shrubland,Cropland,Non_Wetland,Non_Water,Built-up
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZM_M_R,Bareland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZM_M_R,Grassland,11,0,0,0,1,21,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZM_M_R,Forest,0,56,17,59,114,116,9,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZM_M_R,Wetland,30,0,0,9,0,41,1,0,0,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZM_M_R,Bareland,1,1,0,0,1,9,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZM_M_R,Water,97,2,18,0,196,48,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZM_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZM_M_R,Cropland,2,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZM_M_R,Water,27,0,7,0,82,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZM_M_R,Grassland,8,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZM_M_R,Wetland,25,0,12,121,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZM_M_R,Forest,0,0,0,134,60,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZM_M_R,Shrubland,5,0,0,0,2,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZM_M_R,Grassland,22,0,0,0,1,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZM_M_R,Bareland,2,0,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZM_M_R,Forest,0,0,0,3,3,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZM_M_R,Wetland,202,0,17,66,0,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZM_M_R,Water,232,0,14,0,36,0,5,0,0,0
