Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Bareland,240,0,0,86,141,4,0,228,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Built-up,225,0,131,0,44,3,0,205,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Water,778,0,74,91,0,96,0,1285,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Forest,578,0,128,147,110,0,0,1076,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Non_Water,3,0,0,0,1,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Cropland,872,0,262,236,130,10,0,617,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Wetland,303,0,28,14,221,45,0,658,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Non_Wetland,3,0,0,0,2,2,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Grassland,0,1,107,31,103,163,0,664,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Bareland,165,14,0,55,74,4,0,182,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Built-up,243,5,228,0,29,47,0,276,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Forest,425,4,188,37,118,0,0,1079,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Water,607,1,258,21,0,346,0,1385,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Non_Water,2,0,0,0,5,2,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Shrubland,138,1,87,18,56,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Cropland,716,0,374,142,109,105,0,814,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Wetland,288,6,60,4,208,193,0,781,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXS_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXS_M_R,Shrubland,0,0,0,0,0,0,0,0,309,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXS_M_R,Grassland,0,0,0,0,20,0,151,0,393,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXS_M_R,Water,0,0,0,0,0,0,669,0,503,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXS_M_R,Cropland,0,0,0,0,3,0,44,0,199,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXS_M_R,Bareland,0,0,0,0,1,0,15,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXS_M_R,Built-up,0,0,0,0,0,0,21,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXS_M_R,Forest,0,0,0,0,31,0,198,0,337,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXS_M_R,Wetland,0,0,0,0,4,0,0,0,498,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXS_M_R,Water,0,0,0,0,0,0,0,0,0,885,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXS_M_R,Shrubland,0,0,0,0,246,0,0,0,0,141,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXS_M_R,Grassland,0,0,0,0,483,0,0,0,0,204,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXS_M_R,Bareland,0,0,0,0,67,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXS_M_R,Forest,0,0,0,0,345,0,0,0,0,220,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXS_M_R,Cropland,0,0,0,0,260,0,0,0,0,102,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXS_M_R,Wetland,0,0,0,0,560,0,0,0,0,295,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXS_M_R,Built-up,0,0,0,0,23,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXS_M_R,Grassland,0,592,143,112,21,505,151,398,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXS_M_R,Bareland,2,378,0,188,1,124,15,240,0,0,2,0
