Dataset,MajorityClass,Grassland,Forest,Built-up,Wetland,Water,Bareland,Cropland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Cropland,531,51,73,248,48,488,0,331,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFM_M_R,Grassland,0,0,0,0,266,0,0,0,0,87,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFM_M_R,Shrubland,0,0,0,0,116,0,0,0,0,55,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFM_M_R,Wetland,0,0,0,0,542,0,0,0,0,428,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFM_M_R,Bareland,0,0,0,0,90,0,0,0,0,34,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFM_M_R,Water,0,0,0,0,0,0,0,0,0,912,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFM_M_R,Forest,0,0,0,0,606,0,0,0,0,341,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFM_M_R,Cropland,0,0,0,0,252,0,0,0,0,100,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFM_M_R,Built-up,0,0,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,Grassland,0,496,90,151,79,48,485,694,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,Wetland,2,369,2,0,103,27,74,281,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,Bareland,3,102,81,71,54,0,222,287,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,Built-up,7,39,0,1,19,6,124,164,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,Forest,161,0,102,503,237,113,558,909,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,Cropland,55,423,84,136,60,11,0,612,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,Water,15,722,30,638,0,166,394,866,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,Shrubland,14,58,7,0,0,9,43,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFM_M_R,Grassland,0,227,110,33,130,8,793,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFM_M_R,Bareland,0,23,163,0,41,0,196,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFM_M_R,Shrubland,0,90,51,31,100,0,274,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFM_M_R,Wetland,0,261,15,0,264,1,697,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFM_M_R,Forest,0,0,204,224,591,1,782,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFM_M_R,Built-up,0,0,0,0,0,0,47,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFM_M_R,Water,0,219,28,204,0,22,768,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFM_M_R,Cropland,0,59,60,1,3,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFM_M_R,Wetland,391,756,0,0,291,136,165,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFM_M_R,Forest,171,0,0,109,126,84,107,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFM_M_R,Shrubland,138,285,0,86,115,52,67,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFM_M_R,Cropland,128,140,0,39,42,154,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFM_M_R,Water,149,870,0,331,0,91,92,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFM_M_R,Bareland,6,30,0,1,18,0,33,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFM_M_R,Built-up,11,67,0,0,3,72,55,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFM_M_R,Grassland,0,261,0,63,93,164,132,0,0,0,3
