Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Water,Grassland,Built-up,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVQ_M_R,Bareland,0,167,0,139,223,0,190,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVQ_M_R,Forest,0,76,3,0,292,0,42,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVQ_M_R,Water,0,115,21,89,0,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVQ_M_R,Wetland,0,0,1,95,117,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVQ_M_R,Bareland,0,78,0,234,145,10,0,0,0,18,0,26
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVQ_M_R,Wetland,0,0,16,239,66,5,0,0,0,3,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVQ_M_R,Water,0,41,60,385,0,2,0,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVQ_M_R,Forest,0,2,22,0,36,5,0,0,0,5,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVQ_M_R,Grassland,0,2,4,67,5,0,0,0,0,18,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVQ_M_R,Built-up,0,3,0,6,4,0,0,0,0,0,0,1
