Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Water,194,1036,3,249,24,732,0,818,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Shrubland,117,109,16,25,27,73,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Built-up,151,193,0,18,36,4,1,76,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Cropland,481,349,83,98,0,82,10,222,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,Shrubland,0,0,0,0,0,0,0,0,340,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,Wetland,0,0,0,0,0,0,138,0,1199,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,Grassland,0,0,0,0,0,109,74,0,502,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,Forest,0,0,0,0,0,370,239,0,1580,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,Water,0,0,0,0,0,449,0,0,907,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,Bareland,0,0,0,0,0,64,36,0,21,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,Cropland,0,0,0,0,0,7,18,0,224,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,Built-up,0,0,0,0,0,4,27,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,Water,0,0,0,0,0,0,0,0,0,689,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,Grassland,0,0,0,0,0,0,199,0,0,62,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,Shrubland,0,0,0,0,0,0,79,0,0,34,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,Wetland,0,0,0,0,0,0,466,0,0,289,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,Bareland,0,0,0,0,0,0,92,0,0,36,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,Cropland,0,0,0,0,0,0,19,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,Built-up,0,0,0,0,0,0,12,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,Forest,0,0,0,0,0,0,558,0,0,260,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,Grassland,0,33,119,455,476,109,74,638,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,Wetland,2,17,2,450,47,0,138,321,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,Bareland,5,0,62,108,245,64,36,301,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,Water,22,156,38,702,359,449,0,702,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,Forest,242,107,143,0,629,370,239,943,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,Built-up,24,11,0,68,163,4,27,183,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,Cropland,69,1,128,294,0,7,18,443,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,Shrubland,9,10,8,57,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,Grassland,0,7,143,276,707,19,132,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,Forest,0,2,351,0,667,213,649,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,Shrubland,0,1,79,104,223,19,113,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,Wetland,0,0,14,210,339,0,305,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,Bareland,0,0,117,19,220,0,104,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,Water,0,12,50,176,281,216,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,Built-up,0,11,0,6,39,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,Cropland,0,5,82,107,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,Wetland,239,19,0,618,8,0,258,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,Forest,209,164,0,0,165,96,162,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,Shrubland,118,78,0,263,71,74,95,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,Cropland,149,218,0,167,0,8,13,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,Water,105,79,0,748,12,332,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,Bareland,4,0,0,35,27,2,21,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,Built-up,9,88,0,113,66,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,Grassland,0,149,0,241,120,58,77,0,0,0,0
