Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPN_M_R
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
