Dataset,MajorityClass,Forest,Built-up,Cropland,Bareland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBT_M_R,Forest,0,0,0,0,104,0,0,0,0,44,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBT_M_R,Cropland,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBT_M_R,Grassland,131,26,55,10,20,39,0,174,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBT_M_R,Wetland,23,0,0,0,4,0,4,14,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBT_M_R,Forest,0,2,23,32,72,118,141,166,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBT_M_R,Bareland,8,3,5,0,0,0,6,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBT_M_R,Water,127,2,8,17,0,144,42,68,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBT_M_R,Cropland,38,8,0,0,0,7,32,48,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBT_M_R,Built-up,0,0,1,0,0,0,1,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,Grassland,75,29,244,0,49,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,Wetland,17,0,16,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,Forest,0,5,132,0,172,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,Shrubland,1,0,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,Bareland,0,2,9,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,Cropland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,Water,29,1,43,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,Forest,0,0,37,11,48,27,37,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,Shrubland,5,0,4,1,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,Wetland,98,0,2,0,20,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,Water,199,0,1,0,0,26,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,Grassland,142,0,73,33,66,46,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,Cropland,3,0,0,9,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,Bareland,5,0,0,0,4,0,0,0,0,0,0
