Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Grassland,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Shrubland,0,0,1,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Cropland,1,0,13,8,23,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Wetland,3,0,7,17,26,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Bareland,0,0,0,23,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Built-up,0,0,40,16,32,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZS_M_R,Water,0,0,0,0,0,0,0,323,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZS_M_R,Grassland,0,0,0,24,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZS_M_R,Wetland,0,0,0,24,0,0,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZS_M_R,Bareland,0,0,0,23,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZS_M_R,Forest,0,0,0,311,0,0,0,218,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZS_M_R,Built-up,0,0,0,1,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZS_M_R,Grassland,111,26,7,8,0,5,0,0,61,44,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZS_M_R,Forest,0,75,132,111,211,124,0,0,150,76,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZS_M_R,Wetland,4,0,1,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZS_M_R,Bareland,22,8,0,1,23,5,0,0,16,6,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZS_M_R,Water,291,49,114,0,182,143,0,0,112,13,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZS_M_R,Cropland,11,2,0,0,5,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZS_M_R,Built-up,16,0,2,3,28,0,0,0,8,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZS_M_R,Grassland,71,87,1,52,0,1,0,0,0,71,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZS_M_R,Forest,0,105,2,363,0,4,0,0,0,52,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZS_M_R,Bareland,10,21,0,40,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZS_M_R,Built-up,0,0,0,1,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZS_M_R,Water,205,36,39,0,0,1,0,0,0,11,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZS_M_R,Wetland,34,2,3,33,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZS_M_R,Cropland,1,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZS_M_R,Wetland,73,0,2,7,2,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZS_M_R,Water,482,0,172,0,6,0,0,0,0,32,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZS_M_R,Forest,0,0,2,67,18,0,0,0,0,47,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZS_M_R,Grassland,127,0,3,50,0,3,0,0,0,56,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZS_M_R,Bareland,12,0,0,2,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZS_M_R,Built-up,12,0,0,3,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZS_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
