,WorldCover_2021,ESRI_Annual_LULC_2024,GLC_FCS30D_2022,GWL_FCS30D_2022,GSW_Yearly_2021,DynamicWorld_2024,meta,tile_id,MapBiomas_Collection10_2024,MapBiomas_10mbeta_2023
10,2437,2045,2530,2628,1423,2153,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R': 2153, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R': 2045, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R': 2530, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R': 1423, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R': 2628, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R': 2437}",17MRU,,
11,1788,1433,1827,1905,990,1601,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R': 1601, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R': 1433, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R': 1827, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R': 990, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRT_M_R': 1905, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R': 1788}",17MRT,,
12,2321,1827,2210,2343,1327,1908,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVR_M_R': 1908, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVR_M_R': 1827, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVR_M_R': 2210, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVR_M_R': 1327, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVR_M_R': 2343, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LVR_M_R': 2321}",18LVR,,
13,3233,2501,3162,3351,1627,2638,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R': 2638, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R': 2501, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R': 3162, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R': 1627, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R': 3351, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R': 3233}",18LVN,,
14,3191,2460,3251,3357,1508,2773,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVM_M_R': 2773, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVM_M_R': 2460, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVM_M_R': 3251, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVM_M_R': 1508, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVM_M_R': 3357, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LVM_M_R': 3191}",18LVM,,
15,2559,2022,2521,2644,1486,2106,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVQ_M_R': 2106, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVQ_M_R': 2022, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVQ_M_R': 2521, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVQ_M_R': 1486, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVQ_M_R': 2644, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LVQ_M_R': 2559}",18LVQ,,
16,1834,1456,1877,1916,845,1532,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRP_M_R': 1532, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRP_M_R': 1456, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRP_M_R': 1877, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRP_M_R': 845, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRP_M_R': 1916, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MRP_M_R': 1834}",17MRP,,
17,2796,2326,2663,2951,1133,2420,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRA_M_R': 2420, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRA_M_R': 2326, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRA_M_R': 2663, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRA_M_R': 1133, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRA_M_R': 2951, 'AMAZON_EXTENSION_2024_WorldCover_2021_17NRA_M_R': 2796}",17NRA,,
18,2821,2592,3320,3332,1705,2726,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPN_M_R': 2726, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPN_M_R': 2592, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPN_M_R': 3320, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPN_M_R': 1705, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPN_M_R': 3332, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MPN_M_R': 2821}",17MPN,,
19,2258,1758,2338,2402,1065,1949,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPR_M_R': 1949, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPR_M_R': 1758, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPR_M_R': 2338, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPR_M_R': 1065, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPR_M_R': 2402, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MPR_M_R': 2258}",17MPR,,
20,2031,1668,2308,2331,786,1896,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRM_M_R': 1896, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRM_M_R': 1668, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRM_M_R': 2308, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRM_M_R': 786, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRM_M_R': 2331, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MRM_M_R': 2031}",17MRM,,
21,1806,1369,1974,2011,752,1675,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRN_M_R': 1675, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRN_M_R': 1369, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRN_M_R': 1974, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRN_M_R': 752, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRN_M_R': 2011, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MRN_M_R': 1806}",17MRN,,
22,1828,1507,1985,2047,713,1680,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPQ_M_R': 1680, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPQ_M_R': 1507, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPQ_M_R': 1985, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPQ_M_R': 713, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPQ_M_R': 2047, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MPQ_M_R': 1828}",17MPQ,,
23,2596,2038,2687,2749,1335,2165,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUQ_M_R': 2165, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUQ_M_R': 2038, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUQ_M_R': 2687, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUQ_M_R': 1335, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUQ_M_R': 2749, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LUQ_M_R': 2596}",18LUQ,,
24,2145,1711,2176,2234,1167,1848,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQQ_M_R': 1848, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQQ_M_R': 1711, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQQ_M_R': 2176, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQQ_M_R': 1167, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQQ_M_R': 2234, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MQQ_M_R': 2145}",17MQQ,,
25,2658,2138,2943,2888,1132,2420,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LTQ_M_R': 2420, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LTQ_M_R': 2138, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LTQ_M_R': 2943, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTQ_M_R': 1132, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R': 2888, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R': 2658}",18LTQ,,
26,2355,1941,2600,2654,1234,2141,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPP_M_R': 2141, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPP_M_R': 1941, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPP_M_R': 2600, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPP_M_R': 1234, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPP_M_R': 2654, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MPP_M_R': 2355}",17MPP,,
27,1516,1199,1498,1543,965,1265,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R': 1265, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R': 1199, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R': 1498, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R': 965, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R': 1543, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R': 1516}",17MRR,,
28,2231,1852,2263,2328,1180,1930,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R': 1930, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R': 1852, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R': 2263, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R': 1180, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R': 2328, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R': 2231}",17MQR,,
29,1585,1231,1570,1618,968,1333,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRQ_M_R': 1333, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRQ_M_R': 1231, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R': 1570, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R': 968, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRQ_M_R': 1618, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R': 1585}",17MRQ,,
30,2018,1548,2209,2200,690,1829,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LTR_M_R': 1829, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LTR_M_R': 1548, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LTR_M_R': 2209, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTR_M_R': 690, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTR_M_R': 2200, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LTR_M_R': 2018}",18LTR,,
31,2297,1744,2201,2503,870,2004,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXL_M_R': 2004, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXL_M_R': 1744, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXL_M_R': 2201, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXL_M_R': 870, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXL_M_R': 2503, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXL_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXL_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LXL_M_R': 2297}",18LXL,0.0,0.0
32,2736,2109,2604,2947,1160,2317,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYL_M_R': 2317, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYL_M_R': 2109, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYL_M_R': 2604, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYL_M_R': 1160, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYL_M_R': 2947, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYL_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYL_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LYL_M_R': 2736}",18LYL,0.0,0.0
33,2606,1986,2322,2663,1565,2135,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXM_M_R': 2135, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXM_M_R': 1986, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXM_M_R': 2322, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXM_M_R': 1565, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXM_M_R': 2663, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXM_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXM_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LXM_M_R': 2606}",18LXM,0.0,0.0
34,1868,1520,1613,1881,764,1583,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXR_M_R': 1583, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXR_M_R': 1520, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R': 1613, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R': 764, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXR_M_R': 1881, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXR_M_R': 751, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXR_M_R': 786, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R': 1868}",18LXR,786.0,751.0
35,2139,1661,1905,2166,1280,1771,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXN_M_R': 1771, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXN_M_R': 1661, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R': 1905, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R': 1280, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXN_M_R': 2166, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXN_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXN_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R': 2139}",18LXN,0.0,0.0
36,445,343,386,445,238,376,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYP_M_R': 376, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYP_M_R': 343, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYP_M_R': 386, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYP_M_R': 238, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYP_M_R': 445, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYP_M_R': 3, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYP_M_R': 1, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LYP_M_R': 445}",18LYP,1.0,3.0
37,2722,2086,2563,2922,1332,2363,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWM_M_R': 2363, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWM_M_R': 2086, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWM_M_R': 2563, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWM_M_R': 1332, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWM_M_R': 2922, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LWM_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LWM_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LWM_M_R': 2722}",18LWM,0.0,0.0
38,2854,2188,2589,2927,1555,2299,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWN_M_R': 2299, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWN_M_R': 2188, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWN_M_R': 2589, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R': 1555, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R': 2927, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LWN_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LWN_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R': 2854}",18LWN,0.0,0.0
39,2068,1630,1864,2146,1177,1693,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYM_M_R': 1693, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYM_M_R': 1630, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYM_M_R': 1864, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYM_M_R': 1177, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYM_M_R': 2146, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYM_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYM_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LYM_M_R': 2068}",18LYM,0.0,0.0
40,1339,1045,1221,1357,855,1165,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXQ_M_R': 1165, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXQ_M_R': 1045, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXQ_M_R': 1221, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R': 855, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R': 1357, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXQ_M_R': 9, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXQ_M_R': 4, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R': 1339}",18LXQ,4.0,9.0
41,2215,1653,2111,2412,826,1956,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWL_M_R': 1956, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWL_M_R': 1653, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWL_M_R': 2111, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWL_M_R': 826, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWL_M_R': 2412, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LWL_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LWL_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LWL_M_R': 2215}",18LWL,0.0,0.0
42,3802,3098,3527,3939,2423,3323,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWR_M_R': 3323, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R': 3098, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R': 3527, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R': 2423, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R': 3939, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LWR_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LWR_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R': 3802}",18LWR,0.0,0.0
