Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZE_M_R
33,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
34,Bareland,NULL,Water,NULL,Water,NULL,NULL,NULL
35,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
36,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
37,Bareland,Bareland,Water,NULL,Water,NULL,NULL,NULL
38,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
39,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
40,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
41,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
42,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
43,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
44,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
45,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
46,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
47,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
48,Water,NULL,Water,NULL,Water,NULL,NULL,NULL
49,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
50,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
51,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
52,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
53,Water,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
54,Water,Wetland,Water,NULL,Water,NULL,NULL,NULL
55,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
56,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
57,Water,Bareland,Water,NULL,Water,NULL,NULL,NULL
58,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
59,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
60,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
61,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
62,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
63,Water,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
64,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
65,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
66,Water,Water,Water,NULL,Water,NULL,NULL,NULL
67,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
68,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
69,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
70,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
71,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
72,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
73,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
74,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
75,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
76,Forest,NULL,Water,NULL,Water,NULL,NULL,NULL
77,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
78,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
79,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
80,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
81,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
82,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
83,Forest,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
84,Forest,Wetland,Water,NULL,Water,NULL,NULL,NULL
85,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
86,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
87,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
88,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
89,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
90,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
91,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
92,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
93,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
94,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
95,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
96,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
97,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
98,Forest,Water,Water,NULL,Water,NULL,NULL,NULL
99,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
100,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
101,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
102,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
103,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
104,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
105,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
106,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
107,Forest,Forest,Water,NULL,Water,NULL,NULL,NULL
108,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
