Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Built-up,72,0,34,14,2,0,3,112,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Water,254,0,53,184,89,2,0,483,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Forest,353,0,245,0,229,54,354,798,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Non_Water,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Wetland,29,0,8,17,0,0,150,54,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,Shrubland,0,0,0,0,0,0,0,0,122,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,Wetland,0,0,0,0,0,0,7,0,251,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,Grassland,0,0,0,0,15,0,24,0,124,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,Bareland,0,0,0,0,29,0,29,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,Forest,0,0,0,0,124,0,132,0,513,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,Water,0,0,0,0,268,0,0,0,197,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,Cropland,0,0,0,0,0,0,1,0,45,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,Built-up,0,0,0,0,0,0,5,0,10,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Grassland,0,11,90,26,54,16,19,187,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Non_Wetland,3,0,4,1,5,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Wetland,25,0,52,5,0,1,19,79,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Water,173,0,776,146,125,3,0,518,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Forest,488,12,617,0,291,40,88,788,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Bareland,83,1,0,0,0,11,5,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Non_Water,1,0,4,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Shrubland,91,5,111,13,22,14,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Built-up,118,0,49,15,8,0,1,88,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Cropland,262,0,114,16,16,55,3,110,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,Grassland,0,0,0,0,0,0,59,0,0,37,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,Bareland,0,0,0,0,0,0,79,0,0,68,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,Water,0,0,0,0,0,0,0,0,0,507,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,Shrubland,0,0,0,0,0,0,63,0,0,48,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,Forest,0,0,0,0,0,0,254,0,0,229,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,Cropland,0,0,0,0,0,0,14,0,0,13,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,Wetland,0,0,0,0,0,0,46,0,0,56,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,Built-up,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,Grassland,0,310,37,230,15,49,24,284,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,Bareland,4,226,0,75,29,65,29,214,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,Water,4,257,72,329,268,25,0,470,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,Forest,134,499,55,0,124,107,132,538,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,Wetland,11,53,2,76,0,0,7,48,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,Cropland,5,0,0,144,0,2,1,117,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,Built-up,15,124,11,30,0,0,5,92,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,Shrubland,10,44,9,37,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,Permanent_ice_and_snow,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,Grassland,0,192,4,97,8,83,40,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,Forest,0,192,0,0,24,159,446,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,Shrubland,0,40,1,53,5,57,81,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,Bareland,0,25,0,29,0,61,114,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,Water,0,9,17,28,6,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,Cropland,0,0,1,23,0,20,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,Wetland,0,4,0,10,0,0,53,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,Forest,97,73,38,0,5,0,51,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,Shrubland,53,60,46,175,35,0,52,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,Cropland,42,0,52,44,4,0,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,Wetland,31,4,1,48,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,Bareland,7,19,0,53,1,0,16,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,Water,19,10,91,401,98,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,Built-up,3,10,42,97,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,Grassland,0,70,67,141,27,0,60,0,0,0,16
