Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Shrubland,4,10,4,5,0,8,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Built-up,14,9,30,0,0,15,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Cropland,13,24,3,2,0,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Non_Wetland,0,6,3,0,1,6,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Wetland,48,0,234,3,29,434,500,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Forest,0,445,255,1,11,151,605,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Grassland,36,220,268,12,12,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Water,71,601,332,9,1,0,312,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Shrubland,0,11,13,1,1,3,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Built-up,0,14,78,0,0,0,62,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Bareland,0,11,0,9,0,2,48,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Cropland,1,7,34,0,0,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,Permanent_ice_and_snow,0,0,6,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,Grassland,0,138,0,0,0,30,0,552,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,Wetland,0,0,0,0,0,135,0,845,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,Forest,0,246,0,0,0,82,0,909,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,Water,0,411,0,0,0,0,0,548,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,Shrubland,0,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,Bareland,0,57,0,0,0,7,0,50,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,Built-up,0,17,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,Cropland,0,1,0,0,0,1,0,30,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,Grassland,0,0,0,0,0,88,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,Wetland,0,0,0,0,0,536,0,0,435,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,Water,0,0,0,0,0,0,0,0,375,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,Bareland,0,0,0,0,0,38,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,Forest,0,0,0,0,0,195,0,0,129,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,Built-up,0,0,0,0,0,21,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,Grassland,140,138,88,84,9,30,0,0,0,255,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,Wetland,112,0,159,38,0,135,129,0,0,194,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,Built-up,7,17,1,0,0,0,29,0,0,48,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,Forest,0,246,169,87,20,82,316,0,0,281,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,Bareland,16,57,0,53,0,7,65,0,0,99,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,Water,174,411,143,60,0,0,181,0,0,209,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,Cropland,13,1,2,3,0,1,15,0,0,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,Grassland,177,77,30,123,252,117,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,Forest,0,98,13,103,95,344,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,Wetland,315,0,29,71,89,370,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,Bareland,14,0,0,19,30,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,Built-up,0,0,5,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,Water,107,226,77,10,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCC_M_R,Forest,0,19,49,0,62,101,67,0,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCC_M_R,Wetland,693,0,147,0,101,329,277,0,0,0,0,23
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCC_M_R,Water,467,109,83,0,17,0,56,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCC_M_R,Bareland,11,1,0,0,4,30,4,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCC_M_R,Built-up,26,0,10,0,15,0,7,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCC_M_R,Grassland,225,47,69,0,107,93,0,0,0,0,0,27
