Dataset,MajorityClass,Non_Wetland,Water,Wetland,Bareland,Built-up,Forest,Shrubland,Grassland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEG_M_R,Water,0,0,0,0,0,0,0,0,0,605,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEG_M_R,Forest,0,252,0,0,0,0,0,0,0,148,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEG_M_R,Cropland,0,68,0,0,0,0,0,0,0,36,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEG_M_R,Built-up,0,18,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEG_M_R,Wetland,0,283,0,7,83,867,1174,453,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEG_M_R,Grassland,0,15,53,0,89,251,484,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEG_M_R,Bareland,0,2,4,0,24,28,179,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEG_M_R,Forest,0,90,266,0,38,0,518,134,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEG_M_R,Cropland,0,7,38,1,9,159,285,33,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEG_M_R,Built-up,0,1,1,0,0,29,131,33,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEG_M_R,Water,0,0,640,15,35,505,672,175,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEG_M_R,Permanent_ice_and_snow,0,0,0,0,2,7,28,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEG_M_R,Grassland,0,54,166,7,65,149,0,0,199,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEG_M_R,Wetland,0,596,0,34,150,897,0,0,987,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEG_M_R,Water,0,0,642,31,29,361,0,0,423,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEG_M_R,Bareland,0,10,25,0,43,9,0,0,13,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEG_M_R,Forest,0,128,142,3,89,0,0,0,114,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEG_M_R,Built-up,0,0,1,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEG_M_R,Cropland,0,5,21,1,5,31,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEG_M_R,Permanent_ice_and_snow,0,0,0,1,2,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEG_M_R,Cropland,0,19,8,13,0,28,0,46,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEG_M_R,Wetland,0,727,0,417,0,1004,0,843,643,0,324
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEG_M_R,Water,0,0,393,141,0,506,0,400,277,0,115
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEG_M_R,Forest,0,137,53,80,0,0,0,118,108,0,103
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEG_M_R,Shrubland,0,0,0,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEG_M_R,Bareland,0,13,8,0,0,4,0,3,6,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEG_M_R,Built-up,0,25,11,31,0,56,0,13,6,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEG_M_R,Grassland,0,59,37,51,0,101,0,0,77,0,27
