Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Wetland,Grassland,Non_Wetland,Cropland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEB_M_R,Water,24,0,1,0,7,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEB_M_R,Wetland,33,13,3,94,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEB_M_R,Built-up,1,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEB_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEB_M_R,Forest,0,0,12,37,0,39,0,42,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEB_M_R,Water,290,0,2,0,15,6,0,1,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEB_M_R,Bareland,13,0,0,7,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEB_M_R,Wetland,158,0,1,59,0,7,0,3,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEB_M_R,Built-up,5,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEB_M_R,Grassland,156,0,18,67,4,0,0,68,0,0,0,5
