Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Grassland,Water,Built-up,Cropland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLN_M_R,Forest,118,133,47,0,65,43,6,66,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLN_M_R,Bareland,5,1,0,0,2,0,2,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLN_M_R,Shrubland,0,0,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLN_M_R,Water,43,97,21,61,21,0,2,34,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLN_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLN_M_R,Grassland,0,0,0,0,0,14,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLN_M_R,Wetland,0,0,0,0,0,24,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLN_M_R,Bareland,0,0,0,0,0,9,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLN_M_R,Water,0,0,0,0,0,0,0,0,0,0,60,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLN_M_R,Forest,0,0,0,0,0,106,0,0,0,0,58,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLN_M_R,Grassland,0,3,1,25,0,34,6,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLN_M_R,Bareland,0,0,0,0,0,10,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLN_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLN_M_R,Wetland,0,0,3,26,0,62,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLN_M_R,Forest,0,4,0,0,0,201,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLN_M_R,Water,0,0,3,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLN_M_R,Forest,0,1,1,0,9,10,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLN_M_R,Wetland,0,0,14,97,2,16,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLN_M_R,Grassland,0,6,7,72,0,18,0,6,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLN_M_R,Water,0,0,39,158,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLN_M_R,Shrubland,0,0,0,8,0,0,0,0,0,0,0,0
