Dataset,MajorityClass,Wetland,Grassland,Water,Forest,Bareland,Built-up,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Non_Wetland,1,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Forest,518,689,338,0,205,11,2,127,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Grassland,442,0,235,56,193,19,5,177,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Shrubland,37,40,17,6,21,1,0,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Wetland,0,376,610,48,42,0,0,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Bareland,47,58,47,1,0,4,0,63,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Water,699,683,0,114,143,0,0,75,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Cropland,49,91,25,1,59,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Built-up,11,53,0,2,47,0,0,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,Wetland,0,0,85,0,0,0,0,0,1050,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,Forest,198,0,120,0,0,0,0,0,1120,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,Shrubland,0,0,0,0,0,0,0,0,82,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,Grassland,109,0,54,0,0,0,0,0,1017,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,Water,426,0,0,0,0,0,0,0,1003,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,Cropland,3,0,3,0,0,0,0,0,129,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,Built-up,0,0,0,0,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,Bareland,12,0,4,0,0,0,0,0,167,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPJ_M_R,Grassland,109,0,54,366,10,85,789,101,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPJ_M_R,Wetland,0,205,85,274,0,15,527,20,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPJ_M_R,Forest,198,295,120,0,0,63,543,67,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPJ_M_R,Bareland,12,46,4,62,0,26,286,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPJ_M_R,Water,426,324,0,568,0,14,862,41,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPJ_M_R,Cropland,3,77,3,75,6,27,240,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPJ_M_R,Built-up,0,16,0,25,3,0,69,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPJ_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPJ_M_R,Shrubland,0,0,14,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPJ_M_R,Grassland,0,0,369,0,0,0,0,0,0,92,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPJ_M_R,Water,0,0,0,0,0,0,0,0,0,452,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPJ_M_R,Wetland,0,0,610,0,0,0,0,0,0,226,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPJ_M_R,Bareland,0,0,59,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPJ_M_R,Forest,0,0,315,0,0,0,0,0,0,127,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPJ_M_R,Cropland,0,0,28,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPJ_M_R,Grassland,140,0,179,161,16,83,0,543,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPJ_M_R,Wetland,0,0,166,112,10,0,0,267,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPJ_M_R,Bareland,25,0,31,18,0,30,0,65,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPJ_M_R,Forest,187,0,300,0,5,82,0,206,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPJ_M_R,Water,377,0,0,131,116,6,0,234,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPJ_M_R,Built-up,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPJ_M_R,Cropland,4,0,2,9,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPJ_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPJ_M_R,Wetland,0,255,258,318,269,0,0,105,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPJ_M_R,Forest,37,100,113,0,114,0,0,72,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPJ_M_R,Cropland,7,33,10,12,81,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPJ_M_R,Water,231,230,0,415,335,0,0,68,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPJ_M_R,Bareland,1,1,17,2,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPJ_M_R,Built-up,0,1,1,11,12,0,0,16,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPJ_M_R,Grassland,88,0,146,220,254,0,0,133,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPJ_M_R,Shrubland,0,0,1,4,0,0,0,1,0,0,0
