Dataset,MajorityClass,Forest,Grassland,Wetland,Bareland,Built-up,Cropland,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,Shrubland,0,0,0,0,0,0,0,118,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,Grassland,0,0,150,0,0,0,70,1828,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,Cropland,0,0,30,0,0,0,31,776,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,Bareland,0,0,96,0,0,0,79,742,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,Water,0,0,613,0,0,0,0,1701,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,Forest,0,0,247,0,0,0,134,1722,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,Built-up,0,0,32,0,0,0,15,291,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,Water,0,0,0,0,0,0,0,0,705,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,Shrubland,0,0,0,0,0,0,32,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,Grassland,0,0,0,0,0,0,816,0,147,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,Wetland,0,0,0,0,0,0,1539,0,481,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,Forest,0,0,0,0,0,0,508,0,193,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,Cropland,0,0,0,0,0,0,483,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,Bareland,0,0,0,0,0,0,391,0,75,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,Built-up,0,0,0,0,0,0,82,0,27,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,Grassland,450,0,150,39,417,110,70,0,0,1278,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,Wetland,550,471,0,0,235,43,186,0,0,1219,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,Forest,0,419,247,1,315,97,134,0,0,969,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,Bareland,142,252,96,0,262,22,79,0,0,926,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,Built-up,74,66,32,21,0,15,15,0,0,301,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,Water,670,433,613,0,287,54,0,0,0,1502,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,Cropland,236,294,30,30,198,0,31,0,0,754,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,Permanent_ice_and_snow,1,2,0,0,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,Grassland,299,0,373,53,284,945,191,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,Wetland,275,0,0,54,160,689,325,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,Bareland,84,0,134,0,181,277,93,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,Built-up,9,0,6,18,0,35,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,Forest,0,0,244,10,246,377,291,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,Water,259,0,670,243,201,672,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,Cropland,24,0,25,16,24,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQJ_M_R,Wetland,573,460,0,799,0,421,462,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQJ_M_R,Water,351,301,381,978,0,284,0,0,0,0,29
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQJ_M_R,Forest,0,178,107,277,0,151,173,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQJ_M_R,Cropland,69,93,17,310,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQJ_M_R,Bareland,14,8,5,0,0,19,17,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQJ_M_R,Built-up,87,32,27,150,0,86,37,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQJ_M_R,Grassland,348,0,198,551,0,305,202,0,0,0,18
