Dataset,MajorityClass,Grassland,Bareland,Built-up,Wetland,Water,Permanent_ice_and_snow,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,Bareland,0,0,17,0,20,16,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,Water,0,46,5,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,Cropland,0,9,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,Permanent_ice_and_snow,0,4,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,Forest,0,6,1,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KES_M_R,Bareland,1,0,0,3,20,18,4,16,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KES_M_R,Grassland,0,1,0,0,2,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KES_M_R,Wetland,0,15,0,0,7,8,6,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KES_M_R,Water,0,38,0,7,0,15,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KES_M_R,Built-up,0,7,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KES_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,0,0,0,0
