Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Permanent_ice_and_snow,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,Grassland,0,80,0,0,16,0,642,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,Wetland,0,0,0,0,94,0,827,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,Forest,0,253,0,0,85,0,1194,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,Water,0,456,0,0,0,0,715,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,Shrubland,0,0,0,0,0,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,Cropland,0,1,0,0,0,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,Bareland,0,37,0,0,4,0,97,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,Built-up,0,14,0,0,7,0,119,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Non_Wetland,0,11,0,3,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Wetland,39,0,4,282,478,323,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Forest,0,630,84,550,170,536,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Grassland,55,294,65,299,15,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Built-up,5,72,0,165,14,67,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Water,55,756,9,189,0,149,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Shrubland,2,17,6,22,2,12,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Cropland,6,26,4,82,0,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Lichens_and_Mosses,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Bareland,0,54,5,0,11,14,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,Grassland,0,0,0,0,136,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,Wetland,0,0,0,0,792,0,0,0,334,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,Shrubland,0,0,0,0,9,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,Bareland,0,0,0,0,78,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,Water,0,0,0,0,0,0,0,0,312,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,Built-up,0,0,0,0,55,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,Forest,0,0,0,0,299,0,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,Grassland,148,80,85,107,16,0,0,6,0,329,32,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,Forest,0,253,127,254,85,329,0,15,0,463,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,Wetland,101,0,43,163,94,73,0,0,0,223,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,Water,137,456,62,229,0,67,0,0,0,229,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,Bareland,24,37,90,0,4,34,0,0,0,94,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,Built-up,35,14,0,18,7,53,0,2,0,120,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,Cropland,24,1,16,2,0,27,0,0,0,44,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,Grassland,164,170,181,2,79,0,0,225,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,Forest,0,295,285,2,356,0,0,177,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,Wetland,190,0,190,53,343,0,0,70,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,Bareland,22,11,85,0,20,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,Built-up,7,0,0,2,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,Water,100,358,90,85,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,Cropland,3,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,Forest,0,5,0,12,32,81,0,111,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,Wetland,719,0,0,85,326,294,0,153,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,Bareland,26,6,0,0,4,7,0,17,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,Built-up,66,0,0,9,3,7,0,36,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,Water,511,124,0,110,0,68,0,34,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,Grassland,250,21,0,15,40,0,0,137,0,0,0,0
