Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYT_M_R,Grassland,196,179,186,153,35,12,0,459,0,0,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYT_M_R,Built-up,43,31,0,55,25,1,159,213,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYT_M_R,Forest,0,294,262,296,92,25,590,553,0,0,27,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYT_M_R,Bareland,62,0,294,193,64,1,240,388,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYT_M_R,Water,103,233,159,669,0,0,182,341,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYT_M_R,Cropland,71,50,73,20,4,0,151,165,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYT_M_R,Permanent_ice_and_snow,0,1,2,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYT_M_R,Grassland,298,56,373,242,96,577,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYT_M_R,Forest,0,41,410,177,252,297,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYT_M_R,Wetland,376,167,392,0,385,317,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYT_M_R,Bareland,134,0,172,14,110,124,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYT_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYT_M_R,Built-up,29,21,0,1,9,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYT_M_R,Water,167,343,228,361,0,95,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYT_M_R,Cropland,22,3,21,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYT_M_R,Cropland,17,50,0,0,2,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYT_M_R,Forest,0,152,0,7,28,169,106,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYT_M_R,Wetland,889,279,0,0,500,334,593,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYT_M_R,Bareland,76,0,0,4,20,39,9,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYT_M_R,Water,475,353,0,133,0,51,186,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYT_M_R,Built-up,172,97,0,2,23,90,32,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYT_M_R,Grassland,391,169,0,68,89,202,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYT_M_R,Shrubland,3,0,0,0,0,2,0,0,0,0,0,0
