Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Grassland,Wetland,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Wetland,21,228,2,34,71,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Grassland,13,185,38,3,0,33,0,64,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Non_Wetland,0,3,1,0,1,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Bareland,12,0,0,54,57,3,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Forest,0,700,78,150,488,141,0,152,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Built-up,0,82,0,1,45,8,0,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Water,72,723,6,0,117,47,0,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Shrubland,0,7,3,0,5,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Cropland,0,32,7,0,28,3,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Wetland,11,272,1,54,65,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,Grassland,0,0,0,4,0,39,0,0,96,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,Wetland,0,0,0,2,0,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,Forest,0,0,0,80,0,351,0,0,493,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,Bareland,0,0,0,55,0,206,0,0,311,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,Shrubland,0,0,0,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,Cropland,0,0,0,0,0,1,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,Water,0,0,0,0,0,378,0,0,150,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,Built-up,0,0,0,1,0,4,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVP_M_R,Grassland,0,0,0,29,0,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVP_M_R,Bareland,0,0,0,433,0,0,0,0,0,137,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVP_M_R,Cropland,0,0,0,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVP_M_R,Wetland,0,0,0,83,0,0,0,0,0,63,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVP_M_R,Water,0,0,0,0,0,0,0,0,0,253,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVP_M_R,Forest,0,0,0,245,0,0,0,0,0,178,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVP_M_R,Built-up,0,0,0,6,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,Grassland,89,40,59,4,0,39,104,106,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,Forest,0,189,106,80,130,351,143,237,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,Wetland,6,4,6,2,2,0,3,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,Bareland,143,0,183,55,121,206,234,208,0,0,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,Built-up,19,3,0,1,10,4,33,46,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,Water,123,142,53,0,38,378,72,105,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,Cropland,3,0,3,0,0,1,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,Grassland,78,3,76,50,0,12,110,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,Forest,0,6,159,398,0,72,47,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,Bareland,189,0,190,315,0,219,36,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,Shrubland,0,0,5,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,Built-up,9,0,0,1,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,Water,97,55,40,0,0,63,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,Wetland,59,17,28,103,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,Cropland,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,Bareland,286,0,0,208,26,74,44,0,0,0,0,37
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,Forest,0,47,0,64,28,14,22,0,0,0,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,Water,421,98,0,0,10,24,3,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,Wetland,232,23,0,68,13,0,8,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,Built-up,88,6,0,6,6,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,Grassland,170,38,0,37,0,10,36,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,Shrubland,5,0,0,1,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,Cropland,5,1,0,0,0,0,0,0,0,0,0,0
