Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Forest,Bareland,Built-up,Shrubland,Cropland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R,Built-up,0,0,0,19,14,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R,Forest,0,27,21,127,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R,Cropland,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R,Permanent_ice_and_snow,0,0,0,1,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,Wetland,0,549,0,93,50,4,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,Shrubland,0,8,7,2,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,Grassland,0,25,100,0,9,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,Forest,0,175,427,98,0,27,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,Water,0,0,636,55,68,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,Bareland,0,38,38,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,Built-up,0,9,42,3,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,Cropland,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,Permanent_ice_and_snow,0,3,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,Wetland,0,601,0,247,12,0,0,0,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,Shrubland,0,3,12,7,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,Forest,0,159,256,190,0,2,0,0,83,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,Grassland,0,8,37,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,Water,0,0,452,147,19,0,0,0,28,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,Bareland,0,28,24,25,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,Built-up,0,4,16,34,0,3,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,Cropland,0,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,Permanent_ice_and_snow,0,0,2,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNF_M_R,Wetland,0,543,0,0,0,0,0,0,0,300,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNF_M_R,Grassland,0,20,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNF_M_R,Water,0,0,0,0,0,0,0,0,0,296,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNF_M_R,Forest,0,129,0,0,0,0,0,0,0,64,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNF_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNF_M_R,Cropland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNF_M_R,Bareland,0,17,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,Grassland,0,1,11,0,16,3,18,62,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,Wetland,0,107,0,67,73,77,41,160,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,Forest,0,60,157,96,0,40,47,147,4,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,Water,0,0,357,80,122,47,56,96,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,Built-up,0,0,0,0,4,0,0,14,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,Cropland,0,0,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,Bareland,0,0,13,4,11,0,7,29,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNF_M_R,Wetland,0,206,0,0,170,64,114,0,62,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNF_M_R,Water,0,0,275,0,112,121,83,0,33,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNF_M_R,Grassland,0,13,10,0,26,0,29,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNF_M_R,Forest,0,145,74,0,0,3,54,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNF_M_R,Bareland,0,1,5,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNF_M_R,Wetland,0,151,0,65,518,252,0,0,86,0,0,155
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNF_M_R,Water,0,0,104,23,415,257,0,0,57,0,0,101
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNF_M_R,Forest,0,5,4,2,0,5,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNF_M_R,Grassland,0,0,7,0,46,19,0,0,4,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNF_M_R,Built-up,0,0,0,0,8,2,0,0,0,0,0,6
