Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Shrubland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVU_M_R,Bareland,1,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVU_M_R,Built-up,0,0,0,0,0,0,0,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,Wetland,0,103,23,165,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,Non_Wetland,5,2,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,Forest,389,316,107,173,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,Grassland,55,0,22,8,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,Water,389,50,9,0,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,Shrubland,9,10,4,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,Bareland,5,3,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,Built-up,15,30,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVU_M_R,Grassland,0,0,0,38,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVU_M_R,Wetland,0,0,0,222,0,0,0,0,105,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVU_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVU_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVU_M_R,Built-up,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVU_M_R,Forest,0,0,0,178,0,0,0,0,90,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVU_M_R,Water,0,0,0,0,0,0,0,0,187,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVU_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVU_M_R,Grassland,25,0,28,0,32,99,23,0,0,5,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVU_M_R,Wetland,0,6,55,30,33,74,6,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVU_M_R,Forest,143,122,153,50,0,207,42,0,0,4,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVU_M_R,Bareland,1,0,0,0,0,9,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVU_M_R,Water,188,48,155,0,114,98,16,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVU_M_R,Built-up,0,2,0,0,1,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVU_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVU_M_R,Grassland,57,0,0,28,35,0,49,0,0,0,10
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVU_M_R,Bareland,2,0,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVU_M_R,Water,220,0,17,0,38,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVU_M_R,Forest,170,0,1,258,0,0,75,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVU_M_R,Wetland,0,0,5,137,74,0,24,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVU_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVU_M_R,Forest,1,18,0,18,0,0,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVU_M_R,Wetland,0,16,0,133,396,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVU_M_R,Water,50,3,5,0,406,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVU_M_R,Grassland,9,0,3,5,109,0,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVU_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVU_M_R,Bareland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVU_M_R,Built-up,0,0,0,0,5,0,0,0,0,0,0
