Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Wetland,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDV_M_R,Grassland,222,356,36,147,17,63,0,0,243,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDV_M_R,Built-up,157,282,16,0,35,32,32,0,173,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDV_M_R,Forest,0,622,131,285,94,190,162,0,347,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDV_M_R,Cropland,279,0,26,278,37,61,67,0,272,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDV_M_R,Wetland,95,68,12,7,3,0,2,0,32,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDV_M_R,Bareland,38,139,0,143,14,28,1,0,41,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDV_M_R,Water,443,534,148,239,0,434,42,0,164,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDV_M_R,Shrubland,0,0,0,0,0,0,0,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDV_M_R,Water,0,0,0,0,0,0,0,0,0,0,959,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDV_M_R,Grassland,0,0,0,0,31,0,0,0,0,0,129,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDV_M_R,Cropland,0,0,0,0,72,0,0,0,0,0,200,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDV_M_R,Bareland,0,0,0,0,26,0,0,0,0,0,50,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDV_M_R,Wetland,0,0,0,0,51,0,0,0,0,0,333,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDV_M_R,Built-up,0,0,0,0,37,0,0,0,0,0,95,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDV_M_R,Forest,0,0,0,0,180,0,0,0,0,0,358,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDV_M_R,Grassland,152,516,0,198,82,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDV_M_R,Water,100,595,14,259,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDV_M_R,Forest,0,745,2,487,415,53,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDV_M_R,Wetland,62,206,1,71,156,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDV_M_R,Bareland,10,155,0,80,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDV_M_R,Built-up,28,188,6,0,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDV_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDV_M_R,Cropland,84,0,1,241,46,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDV_M_R,Forest,0,128,14,0,117,33,129,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDV_M_R,Cropland,242,0,50,0,90,19,171,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDV_M_R,Built-up,244,253,53,0,89,2,108,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDV_M_R,Wetland,219,65,14,0,89,0,99,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDV_M_R,Water,453,118,40,0,0,135,121,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDV_M_R,Bareland,30,15,0,0,13,3,8,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDV_M_R,Grassland,134,74,4,0,16,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDV_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
