Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Wetland,Cropland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,Bareland,0,0,5,28,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,Built-up,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,Cropland,0,2,4,17,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R,Forest,0,0,0,0,14,33,0,0,0,26,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R,Bareland,0,0,0,0,8,25,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R,Water,0,0,0,0,0,55,0,0,0,16,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R,Grassland,0,0,0,0,1,1,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R,Wetland,0,0,0,0,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,Water,19,49,0,70,0,21,32,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,Wetland,11,14,0,24,17,0,15,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,Bareland,3,0,0,14,8,3,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,Built-up,1,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,Forest,16,23,0,0,26,11,18,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,Grassland,0,2,0,6,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,Cropland,0,1,0,1,0,0,0,0,0,0,0
