Dataset,MajorityClass,Grassland,Cropland,Water,Forest,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Wetland,10,0,8,0,0,35,0,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Forest,498,115,284,0,627,816,26,673,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Bareland,75,21,17,4,7,0,7,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Water,70,4,0,121,206,489,10,274,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Shrubland,71,18,17,17,55,95,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Cropland,433,0,32,86,126,395,40,253,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Built-up,149,19,1,17,56,177,0,74,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZB_M_R,Water,0,0,0,0,0,0,0,0,0,440,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZB_M_R,Wetland,0,0,18,0,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZB_M_R,Bareland,0,0,24,0,0,0,0,0,0,34,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZB_M_R,Shrubland,0,0,18,0,0,0,0,0,0,31,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZB_M_R,Grassland,0,0,32,0,0,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZB_M_R,Cropland,0,0,18,0,0,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZB_M_R,Built-up,0,0,3,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZB_M_R,Forest,0,0,231,0,0,0,0,0,0,263,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,Grassland,0,412,7,205,3,4,99,395,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,Wetland,0,19,0,34,0,8,2,71,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,Forest,15,914,111,0,91,50,255,846,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,Bareland,0,266,11,44,6,0,142,185,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,Cropland,0,0,3,180,3,4,122,377,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,Water,4,441,0,270,150,53,60,425,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,Built-up,0,180,7,35,0,0,0,107,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,Shrubland,0,33,0,17,0,1,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,Grassland,0,382,43,200,4,4,101,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,Forest,0,496,441,0,0,1,298,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,Shrubland,0,126,57,88,1,0,59,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,Wetland,0,34,21,44,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,Bareland,0,155,62,41,0,0,128,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,Water,0,90,0,154,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,Built-up,0,30,0,6,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,Cropland,0,0,1,187,0,5,106,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZB_M_R,Forest,111,161,78,0,0,67,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZB_M_R,Shrubland,66,71,33,191,1,40,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZB_M_R,Cropland,124,0,16,200,0,125,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZB_M_R,Wetland,22,5,15,76,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZB_M_R,Bareland,3,31,28,73,3,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZB_M_R,Built-up,5,68,6,122,0,48,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZB_M_R,Water,24,5,0,636,5,21,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZB_M_R,Grassland,0,83,27,129,1,68,0,0,0,0,4
