Dataset,MajorityClass,Grassland,Cropland,Forest,Water,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Water,214,0,95,0,91,8,4,359,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Forest,462,0,0,230,353,127,48,814,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Non_Water,1,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBJ_M_R,Wetland,0,0,0,2,0,0,0,0,188,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBJ_M_R,Shrubland,0,0,0,0,0,0,0,0,156,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBJ_M_R,Grassland,0,0,0,13,14,0,0,0,182,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBJ_M_R,Forest,0,0,0,94,113,0,0,0,726,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBJ_M_R,Water,0,0,0,0,145,0,0,0,228,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBJ_M_R,Cropland,0,0,0,9,1,0,0,0,160,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBJ_M_R,Bareland,0,0,0,15,1,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBJ_M_R,Built-up,0,0,0,8,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Grassland,0,103,35,38,60,163,18,202,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Non_Wetland,1,0,0,0,11,6,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Wetland,14,4,9,17,0,73,0,37,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Forest,353,159,0,168,397,537,28,635,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Non_Water,0,0,0,0,0,2,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Water,39,3,112,0,146,383,3,275,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Shrubland,74,25,12,26,41,96,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Bareland,55,24,2,2,9,0,3,28,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Cropland,362,0,62,22,58,268,62,220,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBJ_M_R,Built-up,74,17,5,3,2,98,0,51,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBJ_M_R,Grassland,0,0,0,48,0,0,0,0,0,41,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBJ_M_R,Water,0,0,0,0,0,0,0,0,0,217,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBJ_M_R,Wetland,0,0,0,32,0,0,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBJ_M_R,Shrubland,0,0,0,31,0,0,0,0,0,30,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBJ_M_R,Bareland,0,0,0,8,0,0,0,0,0,20,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBJ_M_R,Cropland,0,0,0,7,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBJ_M_R,Forest,0,0,0,133,0,0,0,0,0,100,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBJ_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBJ_M_R,Grassland,0,342,201,13,14,9,75,454,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBJ_M_R,Wetland,1,8,47,2,0,5,0,86,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBJ_M_R,Bareland,3,173,38,15,1,0,55,200,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBJ_M_R,Water,3,192,264,0,145,51,14,358,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBJ_M_R,Forest,144,530,0,94,113,69,79,626,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBJ_M_R,Cropland,63,0,182,9,1,9,74,372,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBJ_M_R,Built-up,5,136,20,8,0,1,0,106,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBJ_M_R,Shrubland,8,31,29,0,0,3,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBJ_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBJ_M_R,Grassland,0,465,172,30,0,2,98,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBJ_M_R,Bareland,0,150,15,3,0,0,107,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBJ_M_R,Forest,0,420,0,312,41,0,198,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBJ_M_R,Shrubland,0,143,97,47,1,1,48,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBJ_M_R,Water,0,73,63,0,41,0,29,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBJ_M_R,Wetland,0,33,23,18,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBJ_M_R,Built-up,0,27,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBJ_M_R,Cropland,0,0,138,6,0,3,102,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBJ_M_R,Forest,79,119,0,39,3,72,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBJ_M_R,Shrubland,69,58,184,46,7,53,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBJ_M_R,Cropland,127,0,193,17,0,160,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBJ_M_R,Wetland,17,3,92,19,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBJ_M_R,Water,18,10,401,0,30,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBJ_M_R,Built-up,7,30,72,0,0,25,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBJ_M_R,Bareland,1,19,27,5,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBJ_M_R,Grassland,0,114,169,31,3,100,0,0,0,0,7
