Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Water,Bareland,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,Water,0,0,0,0,0,0,0,0,110,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,Forest,0,0,0,0,93,0,0,0,42,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,Bareland,0,0,0,0,34,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,Built-up,0,0,0,0,9,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUV_M_R,Water,18,57,23,75,0,28,49,0,0,52,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUV_M_R,Cropland,4,1,0,16,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUV_M_R,Wetland,0,0,4,19,10,0,2,0,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUV_M_R,Bareland,3,13,4,20,4,0,23,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUV_M_R,Built-up,6,1,0,7,0,3,8,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUV_M_R,Forest,24,39,15,0,16,25,52,0,0,62,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUV_M_R,Grassland,0,10,0,21,3,3,17,0,0,20,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUV_M_R,Grassland,0,15,14,15,8,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUV_M_R,Wetland,0,0,13,36,40,19,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUV_M_R,Water,0,45,27,51,0,54,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUV_M_R,Forest,0,47,29,0,48,7,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUV_M_R,Bareland,0,0,5,21,19,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUV_M_R,Cropland,0,7,6,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUV_M_R,Water,33,21,0,77,0,44,34,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUV_M_R,Wetland,30,0,0,50,31,18,24,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUV_M_R,Forest,18,7,0,0,18,12,21,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUV_M_R,Grassland,0,0,0,6,2,1,2,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUV_M_R,Bareland,0,0,0,2,1,0,1,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUV_M_R,Built-up,0,0,0,5,1,0,0,0,0,0,0
