Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Grassland,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCM_M_R,Built-up,57,0,11,6,82,5,0,0,17,30,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCM_M_R,Cropland,28,14,3,0,19,1,0,0,3,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCM_M_R,Grassland,202,181,194,14,0,80,0,0,0,309,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCM_M_R,Bareland,56,49,42,0,0,0,0,0,0,40,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCM_M_R,Built-up,4,0,3,1,0,0,0,0,0,36,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCM_M_R,Water,372,117,0,176,0,51,0,0,0,151,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCM_M_R,Forest,0,175,442,9,0,42,0,0,0,161,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCM_M_R,Wetland,76,11,78,8,0,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCM_M_R,Cropland,1,3,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCM_M_R,Bareland,68,0,22,0,5,5,0,0,0,13,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCM_M_R,Forest,0,0,89,11,46,5,0,0,0,39,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCM_M_R,Wetland,201,0,40,11,30,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCM_M_R,Water,977,0,0,384,106,34,0,0,0,93,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCM_M_R,Built-up,68,0,20,19,8,0,0,0,0,20,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCM_M_R,Grassland,316,0,163,57,0,43,0,0,0,120,0,51
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCM_M_R,Cropland,8,0,0,0,0,0,0,0,0,0,0,0
