Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCK_M_R,Forest,0,0,0,0,156,0,0,0,0,160,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCK_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCK_M_R,Grassland,0,383,29,254,45,41,121,0,539,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCK_M_R,Wetland,0,7,3,110,42,0,1,0,113,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCK_M_R,Bareland,13,213,0,51,49,5,119,0,270,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCK_M_R,Forest,221,495,82,0,139,160,142,0,715,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCK_M_R,Water,7,267,72,295,0,271,28,0,504,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCK_M_R,Cropland,116,0,24,208,24,16,138,0,478,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCK_M_R,Built-up,10,145,1,21,21,0,0,0,162,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCK_M_R,Shrubland,15,33,3,36,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCK_M_R,Grassland,0,712,2,272,51,1,129,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCK_M_R,Forest,0,530,0,0,275,28,198,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCK_M_R,Shrubland,0,225,0,103,58,1,69,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCK_M_R,Wetland,0,109,0,95,64,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCK_M_R,Bareland,0,251,0,27,28,0,163,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCK_M_R,Water,0,436,3,170,0,40,34,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCK_M_R,Built-up,0,49,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCK_M_R,Cropland,0,0,4,149,6,0,117,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCK_M_R,Water,56,52,36,544,0,52,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCK_M_R,Forest,121,109,68,0,54,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCK_M_R,Shrubland,81,72,61,243,75,29,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCK_M_R,Wetland,73,13,5,230,99,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCK_M_R,Cropland,140,0,198,223,38,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCK_M_R,Bareland,6,36,0,51,19,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCK_M_R,Built-up,15,62,51,96,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCK_M_R,Grassland,0,129,136,249,77,20,0,0,0,0,0
