Dataset,MajorityClass,Forest,Grassland,Wetland,Bareland,Water,Cropland,Built-up,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXV_M_R,Grassland,0,0,0,0,148,0,0,0,0,69,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXV_M_R,Wetland,0,0,0,0,329,0,0,0,0,233,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXV_M_R,Water,0,0,0,0,0,0,0,0,0,298,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXV_M_R,Shrubland,0,0,0,0,9,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXV_M_R,Forest,0,0,0,0,201,0,0,0,0,124,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXV_M_R,Cropland,0,0,0,0,16,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXV_M_R,Bareland,0,0,0,0,1,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,Grassland,215,0,109,43,54,336,53,0,406,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,Forest,0,50,194,50,122,322,32,0,416,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,Wetland,197,7,0,25,60,110,2,0,227,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,Water,180,2,237,33,0,116,6,0,144,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,Shrubland,4,1,0,0,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,Bareland,2,0,6,0,0,31,4,0,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,Cropland,40,2,9,0,4,0,7,0,132,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,Built-up,0,0,0,0,0,14,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXV_M_R,Grassland,164,0,37,1,46,325,58,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXV_M_R,Wetland,168,0,0,5,117,294,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXV_M_R,Forest,0,0,145,0,204,142,61,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXV_M_R,Shrubland,33,0,4,0,2,33,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXV_M_R,Water,91,0,51,20,0,35,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXV_M_R,Bareland,6,0,0,0,1,9,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXV_M_R,Cropland,28,0,0,0,2,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXV_M_R,Shrubland,69,30,1,4,1,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXV_M_R,Wetland,471,264,0,97,133,156,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXV_M_R,Forest,0,76,11,15,21,66,0,0,0,0,0,0
