Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Wetland,17,3,5,1,15,0,44,0,81,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMN_M_R,Grassland,0,0,0,0,0,0,19,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMN_M_R,Shrubland,0,0,0,0,0,0,33,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMN_M_R,Water,0,0,0,0,0,0,0,0,0,177,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMN_M_R,Bareland,0,0,0,0,0,0,14,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMN_M_R,Cropland,0,0,0,0,0,0,9,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMN_M_R,Wetland,0,0,0,0,0,0,37,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMN_M_R,Built-up,0,0,0,0,0,0,5,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMN_M_R,Forest,0,0,0,0,0,0,79,0,0,70,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,Grassland,0,166,17,61,231,25,8,0,282,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,Bareland,22,85,0,64,65,1,8,0,179,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,Forest,208,155,32,68,0,110,56,0,380,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,Built-up,35,77,7,0,49,2,5,0,135,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,Cropland,155,0,12,96,222,9,8,0,366,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,Wetland,1,1,3,0,29,0,16,0,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,Water,48,43,61,13,177,188,0,0,209,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,Shrubland,23,30,12,22,41,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMN_M_R,Grassland,0,369,1,120,158,1,30,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMN_M_R,Shrubland,0,143,2,83,99,1,60,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMN_M_R,Forest,0,281,0,135,0,12,167,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMN_M_R,Bareland,0,152,0,57,19,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMN_M_R,Built-up,0,49,0,0,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMN_M_R,Wetland,0,2,0,6,23,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMN_M_R,Water,0,35,0,11,19,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMN_M_R,Cropland,0,0,8,58,58,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMN_M_R,Forest,84,103,45,0,0,19,51,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMN_M_R,Shrubland,69,100,83,0,152,21,35,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMN_M_R,Cropland,91,0,134,0,94,2,4,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMN_M_R,Water,10,10,13,0,125,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMN_M_R,Wetland,12,5,3,0,61,0,17,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMN_M_R,Bareland,1,23,0,0,11,0,5,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMN_M_R,Built-up,2,43,39,0,68,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMN_M_R,Grassland,0,124,103,0,172,23,19,0,0,0,0,0
