Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWE_M_R
34,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
35,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
36,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
37,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
38,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
39,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
40,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
41,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
42,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
43,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
44,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
45,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
46,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
47,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
48,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
49,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
50,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
51,Grassland,Wetland,Water,NULL,Water,NULL,NULL,NULL
52,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
53,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
54,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
55,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
56,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
57,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
58,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
59,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
60,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
61,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
62,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
63,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
64,Grassland,Water,Water,NULL,Water,NULL,NULL,NULL
65,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
66,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
67,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
68,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
69,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
70,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
71,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
72,Grassland,Forest,Water,NULL,Water,NULL,NULL,NULL
73,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
74,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
75,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
76,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
77,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
78,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
79,Cropland,NULL,Water,NULL,Water,NULL,NULL,NULL
80,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
81,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
82,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
83,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
84,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
85,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
86,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
87,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
88,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
89,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
90,Cropland,Water,Water,NULL,Water,NULL,NULL,NULL
91,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
92,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
93,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
94,Cropland,Forest,Water,NULL,Water,NULL,NULL,NULL
95,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
96,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
97,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
98,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
99,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
100,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
101,Wetland,NULL,Water,NULL,Water,NULL,NULL,NULL
102,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
103,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
104,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
105,Wetland,Wetland,Water,NULL,Water,NULL,NULL,NULL
106,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
107,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
108,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
109,Wetland,Water,Water,NULL,Water,NULL,NULL,NULL
110,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
111,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
112,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
113,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
114,Wetland,Forest,Water,NULL,Water,NULL,NULL,NULL
115,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
116,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
117,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
118,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
119,Bareland,NULL,Water,NULL,Water,NULL,NULL,NULL
120,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
121,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
122,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
123,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
124,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
125,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
126,Bareland,Bareland,Water,NULL,Water,NULL,NULL,NULL
127,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
128,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
129,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
130,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
131,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
132,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
133,Bareland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
134,Bareland,Water,Water,NULL,Water,NULL,NULL,NULL
135,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
136,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
137,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
138,Bareland,Forest,Water,NULL,Water,NULL,NULL,NULL
139,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
140,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
141,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
142,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
143,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
144,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
145,Water,NULL,Water,NULL,Water,NULL,NULL,NULL
146,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
147,Water,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
148,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
149,Water,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
150,Water,Wetland,Water,NULL,Water,NULL,NULL,NULL
151,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
152,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
153,Water,Bareland,Water,NULL,Water,NULL,NULL,NULL
154,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
155,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
156,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
157,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
158,Water,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
159,Water,Built-up,Water,NULL,Water,NULL,NULL,NULL
160,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
161,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
162,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
163,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
164,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
165,Water,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
166,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
167,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
168,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
169,Water,Water,Water,NULL,Water,NULL,NULL,NULL
170,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
171,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
172,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
173,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
174,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
175,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
176,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
177,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
178,Water,Forest,Water,NULL,Water,NULL,NULL,NULL
179,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
180,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
181,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
182,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
183,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
184,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
185,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
186,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
187,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
188,Forest,NULL,Water,NULL,Water,NULL,NULL,NULL
189,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
190,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
191,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
192,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
193,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
194,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
195,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
196,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
197,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
198,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
199,Forest,Wetland,Water,NULL,Water,NULL,NULL,NULL
200,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
201,Forest,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
202,Forest,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
203,Forest,Bareland,Water,NULL,Water,NULL,NULL,NULL
204,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
205,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
206,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
207,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
208,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
209,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
210,Forest,Built-up,Water,NULL,Water,NULL,NULL,NULL
211,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
212,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
213,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
214,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
215,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
216,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
217,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
218,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
219,Forest,Water,Water,NULL,Water,NULL,NULL,NULL
220,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
221,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
222,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
223,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
224,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
225,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
226,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
227,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
228,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
229,Forest,Forest,Water,NULL,Water,NULL,NULL,NULL
230,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
