Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Water,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZE_M_R,Forest,173,469,93,0,142,118,151,656,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZE_M_R,Cropland,101,0,51,216,8,47,175,481,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZE_M_R,Water,4,173,65,249,231,0,37,441,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZE_M_R,Built-up,8,118,0,9,0,13,0,120,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZE_M_R,Shrubland,11,28,10,31,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZE_M_R,Grassland,0,587,1,246,0,37,105,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZE_M_R,Shrubland,0,178,0,101,1,48,72,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZE_M_R,Wetland,0,38,0,35,0,41,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZE_M_R,Forest,0,458,0,0,110,278,181,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZE_M_R,Bareland,0,252,0,32,0,5,101,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZE_M_R,Built-up,0,33,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZE_M_R,Water,0,245,1,146,128,0,35,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZE_M_R,Cropland,0,0,6,211,0,4,129,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZE_M_R,Wetland,29,2,3,183,0,42,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZE_M_R,Shrubland,77,90,48,229,12,48,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZE_M_R,Cropland,166,0,156,231,1,28,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZE_M_R,Water,32,70,25,528,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZE_M_R,Forest,67,113,34,0,6,50,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZE_M_R,Bareland,9,58,0,51,0,3,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZE_M_R,Built-up,3,69,22,95,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZE_M_R,Grassland,0,141,88,200,3,33,0,0,0,0,2
