Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Permanent_ice_and_snow,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDU_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDU_M_R,Forest,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,Cropland,21,0,23,20,0,19,0,0,0,29,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,Wetland,8,0,10,9,0,9,0,0,0,15,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,Bareland,27,8,0,36,8,17,23,2,0,57,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,Built-up,5,3,5,0,0,4,0,0,0,8,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,Forest,14,4,17,10,0,0,0,0,0,28,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,Grassland,0,2,5,3,1,6,1,0,0,2,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,Water,5,1,11,6,0,2,21,0,0,26,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,Permanent_ice_and_snow,1,0,4,1,2,1,4,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,Grassland,0,12,4,2,1,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,Bareland,0,27,0,17,21,10,4,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,Forest,0,24,7,14,2,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,Built-up,0,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,Cropland,0,0,10,20,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,Wetland,0,10,3,0,10,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,Water,0,0,19,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,Permanent_ice_and_snow,0,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,0,63
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,Bareland,0,0,0,0,8,0,23,0,0,0,0,10
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,Grassland,0,0,0,0,1,0,1,0,0,0,0,3
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,Forest,0,0,0,0,0,0,0,0,0,0,0,23
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,Water,0,0,0,0,0,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,Cropland,4,0,4,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,Bareland,1,11,0,0,15,1,0,18,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,Forest,2,6,5,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,Wetland,2,4,13,0,2,6,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,Grassland,0,4,4,0,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,Built-up,0,5,7,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,Water,0,0,22,0,0,2,1,9,0,0,0,0
