Dataset,MajorityClass,Cropland,Bareland,Built-up,Forest,Wetland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Permanent_ice_and_snow,0,3,1,0,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25LBK_M_R,Wetland,0,0,0,0,0,6,0,345,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25LBK_M_R,Grassland,0,0,0,0,77,4,0,351,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25LBK_M_R,Forest,0,0,0,0,273,24,0,607,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25LBK_M_R,Shrubland,0,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25LBK_M_R,Cropland,0,0,0,0,60,1,0,111,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25LBK_M_R,Bareland,0,0,0,0,126,6,0,35,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25LBK_M_R,Built-up,0,0,0,0,82,8,0,97,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25LBK_M_R,Water,0,0,0,0,425,0,0,189,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25LBK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Grassland,309,32,69,127,41,1,0,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Non_Wetland,1,0,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Forest,345,92,107,0,191,36,411,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Shrubland,10,4,3,1,3,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Built-up,119,183,0,26,7,8,113,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Wetland,63,83,6,88,0,56,76,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Cropland,0,25,85,60,7,2,148,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Bareland,62,0,38,3,3,1,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Water,79,346,14,69,95,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25LBK_M_R,Permanent_ice_and_snow,18,0,0,1,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25LBK_M_R,Grassland,0,0,0,0,0,65,0,0,0,47,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25LBK_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25LBK_M_R,Cropland,0,0,0,0,0,23,0,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25LBK_M_R,Bareland,0,0,0,0,0,206,0,0,0,79,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25LBK_M_R,Wetland,0,0,0,0,0,142,0,0,0,184,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25LBK_M_R,Built-up,0,0,0,0,0,92,0,0,0,42,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25LBK_M_R,Forest,0,0,0,0,0,101,0,0,0,73,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25LBK_M_R,Water,0,0,0,0,0,0,0,0,0,295,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25LBK_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25LBK_M_R,Grassland,246,90,99,294,78,4,0,0,313,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25LBK_M_R,Wetland,36,15,13,104,0,6,16,0,68,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25LBK_M_R,Water,155,57,106,152,509,0,55,0,163,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25LBK_M_R,Forest,338,87,110,0,289,24,260,0,359,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25LBK_M_R,Cropland,0,54,81,210,60,1,152,0,204,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25LBK_M_R,Built-up,207,48,0,115,106,10,74,0,168,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25LBK_M_R,Bareland,258,0,160,87,181,23,32,0,124,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25LBK_M_R,Permanent_ice_and_snow,8,3,0,11,0,0,6,0,13,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25LBK_M_R,Grassland,441,18,263,286,2,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25LBK_M_R,Wetland,207,8,218,274,0,231,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25LBK_M_R,Forest,323,15,335,0,20,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25LBK_M_R,Built-up,38,14,0,18,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25LBK_M_R,Bareland,53,0,229,77,1,182,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25LBK_M_R,Water,104,36,166,74,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25LBK_M_R,Cropland,0,12,111,116,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25LBK_M_R,Permanent_ice_and_snow,7,0,5,11,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25LBK_M_R,Wetland,44,39,0,366,0,224,153,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_25LBK_M_R,Forest,115,78,0,0,30,262,119,0,0,0,0,114
AMAZON_EXTENSION_2024_DynamicWorld_2024_25LBK_M_R,Cropland,0,132,0,152,35,172,120,0,0,0,0,60
AMAZON_EXTENSION_2024_DynamicWorld_2024_25LBK_M_R,Built-up,83,102,0,165,4,176,44,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_25LBK_M_R,Bareland,1,0,0,29,5,51,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25LBK_M_R,Water,8,57,0,146,62,0,22,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_25LBK_M_R,Grassland,105,116,0,218,61,209,0,0,0,0,0,74
AMAZON_EXTENSION_2024_DynamicWorld_2024_25LBK_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0,0
