Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Built-up,Wetland,Shrubland,Cropland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,Built-up,6,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,Bareland,11,0,0,1,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCS_M_R,Grassland,0,0,0,3,0,15,0,0,86,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCS_M_R,Wetland,0,0,0,5,0,0,0,0,51,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCS_M_R,Forest,0,0,0,82,0,155,0,0,403,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCS_M_R,Water,0,0,0,0,0,243,0,0,130,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCS_M_R,Shrubland,0,0,0,0,0,0,0,0,21,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCS_M_R,Built-up,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCS_M_R,Bareland,0,0,0,0,0,7,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCS_M_R,Wetland,0,0,0,191,0,0,0,0,0,60
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCS_M_R,Grassland,0,0,0,9,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCS_M_R,Water,0,0,0,0,0,0,0,0,0,118
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCS_M_R,Forest,0,0,0,119,0,0,0,0,0,69
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCS_M_R,Bareland,0,0,0,6,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,Grassland,0,33,2,3,7,15,62,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,Wetland,2,13,0,5,0,0,18,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,Forest,112,0,38,82,8,155,166,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,Bareland,5,9,0,0,3,7,16,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,Water,19,96,17,0,4,243,74,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,Shrubland,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,Built-up,1,1,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,Cropland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCS_M_R,Wetland,0,31,14,126,2,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCS_M_R,Water,0,31,22,0,0,70,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCS_M_R,Grassland,0,27,1,8,20,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCS_M_R,Forest,0,0,0,200,15,38,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCS_M_R,Bareland,0,1,0,10,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCS_M_R,Shrubland,0,4,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCS_M_R,Shrubland,1,20,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCS_M_R,Wetland,9,161,21,63,0,0,0,6,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCS_M_R,Water,5,260,54,0,0,36,0,6,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCS_M_R,Forest,5,0,6,7,0,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCS_M_R,Grassland,0,77,8,4,0,0,0,9,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCS_M_R,Bareland,0,5,0,0,0,0,0,1,0,0
