Dataset,MajorityClass,Forest,Cropland,Built-up,Water,Bareland,Wetland,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEK_M_R,Wetland,73,3,6,72,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEK_M_R,Cropland,22,0,11,20,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEK_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEK_M_R,Forest,0,106,0,111,23,14,68,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEK_M_R,Bareland,82,41,0,44,0,7,26,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEK_M_R,Water,803,136,0,0,374,39,125,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEK_M_R,Wetland,170,28,0,40,34,0,25,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEK_M_R,Built-up,50,21,0,8,4,1,4,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEK_M_R,Cropland,9,0,0,3,1,6,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEK_M_R,Grassland,300,120,0,190,40,68,0,0,0,0,0,25
