Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,Wetland,0,0,0,0,55,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,Bareland,0,0,0,0,121,0,0,0,84,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,Built-up,0,0,0,0,4,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,Water,0,0,0,0,0,0,0,0,225,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,Forest,0,0,0,0,109,0,0,0,73,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,Water,49,54,68,58,0,65,57,0,0,113,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,Cropland,55,0,43,39,15,50,22,0,0,69,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,Wetland,5,5,13,8,0,6,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,Bareland,71,67,0,77,23,53,40,0,0,97,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,Built-up,11,9,6,0,1,8,0,0,0,12,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,Forest,72,70,70,64,27,0,38,0,0,97,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,Grassland,0,20,3,5,4,16,3,0,0,22,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,Water,0,100,78,22,0,62,44,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,Grassland,0,47,3,16,13,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,Wetland,0,43,17,10,38,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,Bareland,0,70,0,33,81,76,58,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,Built-up,0,4,0,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,Forest,0,73,35,45,75,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,Cropland,0,0,8,34,18,45,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R,Cropland,26,0,24,0,19,24,7,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R,Water,17,43,120,0,0,83,23,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R,Wetland,12,30,50,0,30,41,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R,Built-up,6,11,13,0,1,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R,Forest,15,29,42,0,29,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R,Bareland,2,29,0,0,31,30,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R,Grassland,0,5,11,0,4,11,2,0,0,0,0,0
