Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Cropland,Grassland,Wetland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Built-up,0,0,81,1,5,66,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Bareland,0,8,0,1,3,8,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Water,50,5,64,0,3,79,236,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Wetland,19,0,46,167,6,126,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Lichens_and_Mosses,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Cropland,2,5,67,0,0,46,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,Grassland,105,69,70,12,12,0,60,0,212,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,Built-up,14,0,2,1,0,59,1,0,67,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,Forest,0,69,150,54,8,229,165,0,261,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,Wetland,12,4,19,3,0,9,0,0,63,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,Bareland,10,28,0,0,0,38,1,0,58,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,Water,85,20,96,0,0,66,268,0,167,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,Cropland,25,19,1,0,0,46,1,0,65,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,Grassland,0,0,0,58,0,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,Wetland,0,0,0,189,0,0,0,0,0,0,83,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,Water,0,0,0,0,0,0,0,0,0,0,111,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,Forest,0,0,0,151,0,0,0,0,0,0,62,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,Grassland,110,87,1,69,292,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,Forest,0,79,0,247,120,0,84,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,Bareland,7,11,0,3,33,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,Built-up,7,0,4,1,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,Wetland,41,7,1,173,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,Water,19,0,3,0,14,0,100,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,Cropland,3,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,Forest,0,0,21,38,48,51,8,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,Wetland,262,0,2,81,2,22,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,Bareland,16,0,0,8,8,10,1,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,Built-up,67,0,24,3,30,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,Water,249,0,13,0,2,6,88,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,Cropland,1,0,12,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,Grassland,232,0,57,72,104,0,32,0,0,0,0,3
