Dataset,MajorityClass,Forest,Built-up,Cropland,Wetland,Bareland,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,Forest,0,19,0,415,74,420,99,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,Water,68,6,0,380,8,102,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,Shrubland,10,1,0,9,6,11,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,Built-up,25,0,0,22,45,56,14,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,Grassland,0,0,0,82,0,0,12,0,553,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,Wetland,0,0,0,0,0,0,96,0,660,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,Forest,0,0,0,134,0,0,40,0,712,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,Water,0,0,0,316,0,0,0,0,347,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,Shrubland,0,0,0,0,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,Bareland,0,0,0,6,0,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,Built-up,0,0,0,6,0,0,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,Cropland,0,0,0,4,0,0,0,0,51,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,Wetland,50,2,9,0,132,391,361,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,Non_Wetland,0,0,0,7,2,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,Forest,0,37,23,452,227,388,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,Grassland,53,47,37,271,189,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,Water,19,6,0,428,60,81,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,Shrubland,0,2,9,10,12,13,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,Cropland,11,6,0,36,64,47,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,Bareland,0,0,3,7,0,14,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,Built-up,1,0,4,16,75,33,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,Grassland,0,0,0,0,0,0,89,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,Wetland,0,0,0,0,0,0,617,0,0,318,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,Forest,0,0,0,0,0,0,101,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,Built-up,0,0,0,0,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,Water,0,0,0,0,0,0,0,0,0,147,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,Bareland,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZU_M_R,Forest,0,66,15,134,148,278,40,298,0,0,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZU_M_R,Grassland,124,65,9,82,88,0,12,270,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZU_M_R,Wetland,92,16,0,0,122,143,96,167,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZU_M_R,Bareland,6,37,0,6,0,31,0,60,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZU_M_R,Built-up,13,0,0,6,5,42,0,58,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZU_M_R,Water,57,20,0,316,106,73,0,111,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZU_M_R,Cropland,18,14,0,4,12,35,0,53,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZU_M_R,Grassland,148,103,279,113,0,0,67,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZU_M_R,Forest,0,113,150,83,1,0,177,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZU_M_R,Bareland,15,19,31,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZU_M_R,Wetland,232,30,139,0,29,0,226,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZU_M_R,Built-up,6,0,12,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZU_M_R,Water,63,6,28,226,29,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZU_M_R,Cropland,1,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,Forest,0,0,102,8,22,76,48,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,Wetland,538,0,164,0,110,335,335,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,Bareland,11,0,12,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,Water,146,0,18,64,33,106,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,Built-up,31,0,20,0,7,4,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,Grassland,215,0,133,32,60,0,61,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
