Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NFH_M_R
40,Wetland,Wetland,Water,Water,Water,NULL,Water,Wetland
41,Wetland,Wetland,Water,Water,Water,Water,Wetland,Wetland
42,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
43,Wetland,Wetland,Water,Water,Water,Water,Water,Water
44,Bareland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
45,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
46,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
47,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
48,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
49,Water,NULL,Wetland,NULL,NULL,NULL,NULL,NULL
50,Water,NULL,Wetland,NULL,NULL,NULL,NULL,Water
51,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
52,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
53,Water,NULL,Wetland,Water,NULL,NULL,NULL,Water
54,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
55,Water,NULL,Water,NULL,NULL,NULL,NULL,NULL
56,Water,NULL,Water,NULL,NULL,NULL,NULL,Water
57,Water,NULL,Water,Water,NULL,NULL,NULL,Water
58,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
59,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
60,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
61,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
62,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
63,Water,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Wetland
64,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
65,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
66,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
67,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
68,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
69,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
70,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
71,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
72,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
73,Water,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
74,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
75,Water,Wetland,Water,NULL,Water,NULL,Water,Wetland
76,Water,Wetland,Water,NULL,Water,Water,Water,Water
77,Water,Wetland,Water,Non_Water,Water,Water,Water,Wetland
78,Water,Wetland,Water,Non_Water,Water,Water,Water,Water
79,Water,Wetland,Water,Water,Water,NULL,Water,Wetland
80,Water,Wetland,Water,Water,Water,Water,Wetland,Wetland
81,Water,Wetland,Water,Water,Water,Water,Water,Wetland
82,Water,Wetland,Water,Water,Water,Water,Water,Water
83,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
84,Water,Water,Wetland,NULL,NULL,Water,Wetland,Wetland
85,Water,Water,Wetland,NULL,NULL,Water,Water,Wetland
86,Water,Water,Wetland,NULL,NULL,Water,Water,Water
87,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Wetland
88,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
89,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
90,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
91,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
92,Water,Water,Wetland,NULL,Wetland,Water,Water,Wetland
93,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
94,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
95,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
96,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
97,Water,Water,Wetland,Water,NULL,NULL,NULL,Water
98,Water,Water,Wetland,Water,NULL,Water,Wetland,Wetland
99,Water,Water,Wetland,Water,NULL,Water,Water,Wetland
100,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
101,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
102,Water,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
103,Water,Water,Wetland,Water,Wetland,Water,NULL,Water
104,Water,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
105,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
106,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
107,Water,Water,Wetland,Water,Wetland,Water,Water,Water
108,Water,Water,Water,NULL,NULL,Water,Water,Wetland
109,Water,Water,Water,NULL,Water,Wetland,Wetland,Wetland
110,Water,Water,Water,NULL,Water,Water,Wetland,Wetland
111,Water,Water,Water,NULL,Water,Water,Water,Wetland
112,Water,Water,Water,Water,NULL,NULL,NULL,Water
113,Water,Water,Water,Water,NULL,Water,NULL,Water
114,Water,Water,Water,Water,NULL,Water,Water,Wetland
115,Water,Water,Water,Water,NULL,Water,Water,Bareland
116,Water,Water,Water,Water,NULL,Water,Water,Water
117,Water,Water,Water,Water,Water,Water,Wetland,Wetland
118,Water,Water,Water,Water,Water,Water,Water,Wetland
119,Water,Water,Water,Water,Water,Water,Water,Water
120,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
121,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
122,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
123,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
124,Forest,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
125,Forest,Wetland,Wetland,NULL,Wetland,NULL,Water,Wetland
126,Forest,Wetland,Wetland,NULL,Wetland,NULL,Water,Water
127,Forest,Wetland,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
128,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
129,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
130,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
131,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
132,Forest,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
133,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
134,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
135,Forest,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
136,Forest,Wetland,Wetland,NULL,Wetland,Water,Water,Water
137,Forest,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Wetland
138,Forest,Wetland,Wetland,NULL,Wetland,Forest,Water,Wetland
139,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
140,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Water
141,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Wetland
142,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Water
143,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
144,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
145,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
146,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
147,Forest,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
148,Forest,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
149,Forest,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
150,Forest,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
151,Forest,Wetland,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
152,Forest,Wetland,Wetland,Water,Wetland,NULL,Wetland,Wetland
153,Forest,Wetland,Wetland,Water,Wetland,NULL,Wetland,Water
154,Forest,Wetland,Wetland,Water,Wetland,NULL,Water,Wetland
155,Forest,Wetland,Wetland,Water,Wetland,NULL,Water,Water
156,Forest,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
157,Forest,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
158,Forest,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
159,Forest,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
160,Forest,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
161,Forest,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
162,Forest,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
163,Forest,Wetland,Wetland,Water,Wetland,Water,Water,Water
164,Forest,Wetland,Wetland,Water,Wetland,Forest,Wetland,Wetland
165,Forest,Wetland,Wetland,Water,Wetland,Forest,Wetland,Water
166,Forest,Wetland,Wetland,Water,Wetland,Forest,Water,Wetland
167,Forest,Wetland,Water,NULL,Water,Wetland,Wetland,Wetland
168,Forest,Wetland,Water,NULL,Water,Water,Wetland,Wetland
169,Forest,Wetland,Water,NULL,Water,Water,Wetland,Water
170,Forest,Wetland,Water,NULL,Water,Water,Water,Wetland
171,Forest,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
172,Forest,Wetland,Water,Non_Water,Water,Water,Water,Wetland
173,Forest,Wetland,Water,Non_Water,Water,Water,Water,Water
174,Forest,Wetland,Water,Water,Water,NULL,Wetland,Wetland
175,Forest,Wetland,Water,Water,Water,NULL,Wetland,Water
176,Forest,Wetland,Water,Water,Water,NULL,Water,Wetland
177,Forest,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
178,Forest,Wetland,Water,Water,Water,Wetland,Water,Wetland
179,Forest,Wetland,Water,Water,Water,Wetland,Water,Water
180,Forest,Wetland,Water,Water,Water,Water,Wetland,Wetland
181,Forest,Wetland,Water,Water,Water,Water,Wetland,Water
182,Forest,Wetland,Water,Water,Water,Water,Water,Wetland
183,Forest,Wetland,Water,Water,Water,Water,Water,Water
184,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Wetland
185,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
186,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Wetland
187,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
188,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
189,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
190,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
191,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
192,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Wetland
