Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Forest,760,0,204,499,17,486,252,861,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Bareland,100,0,48,10,17,0,9,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Water,286,182,25,345,47,241,0,487,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Shrubland,73,12,24,47,7,56,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Built-up,122,7,40,19,0,149,9,37,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Cropland,375,49,0,109,67,352,28,103,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,Grassland,0,0,0,0,0,0,191,0,0,27,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,Water,0,0,0,0,0,0,0,0,0,281,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,Shrubland,0,0,0,0,0,0,40,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,Wetland,0,0,0,0,0,0,364,0,0,174,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,Forest,0,0,0,0,0,0,385,0,0,191,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,Bareland,0,0,0,0,0,0,16,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,Cropland,0,0,0,0,0,0,12,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,Built-up,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,Grassland,0,325,434,59,117,38,70,611,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,Wetland,20,281,62,0,3,25,91,220,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,Forest,288,0,429,345,116,79,187,730,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,Built-up,10,17,125,0,0,4,17,150,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,Water,43,381,203,339,35,92,0,347,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,Cropland,99,143,0,1,77,6,11,306,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,Bareland,12,32,210,5,77,0,33,202,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,Shrubland,4,29,8,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,Grassland,0,275,656,44,177,6,130,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,Shrubland,0,41,73,47,44,0,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,Forest,0,0,451,246,217,1,373,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,Wetland,0,159,120,0,7,0,236,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,Bareland,0,16,149,6,161,0,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,Water,0,110,156,189,44,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,Built-up,0,0,39,1,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,Cropland,0,65,0,0,62,12,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,Wetland,159,501,21,0,0,36,227,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,Shrubland,64,143,24,25,0,33,38,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,Forest,109,0,102,80,0,64,120,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,Cropland,107,144,0,2,0,186,22,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,Bareland,10,24,19,6,0,0,9,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,Built-up,7,57,50,0,0,64,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,Water,39,412,1,150,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,Grassland,0,346,142,62,0,186,124,0,0,0,2
