Dataset,MajorityClass,Wetland,Grassland,Water,Bareland,Forest,Non_Wetland,Cropland,Built-up,Shrubland,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,Bareland,10,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,Grassland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,Wetland,0,1,0,1,0,0,4,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,Forest,94,55,36,71,0,0,20,11,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,Water,140,40,0,63,66,0,3,4,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,Grassland,0,0,0,0,2,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,Bareland,10,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHP_M_R,Wetland,0,0,22,0,0,0,0,0,0,40
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHP_M_R,Water,0,0,0,0,0,0,0,0,0,121
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHP_M_R,Bareland,0,0,6,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHP_M_R,Forest,0,0,95,0,0,0,0,0,0,58
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,Wetland,0,0,52,14,36,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,Forest,1,0,152,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,Water,2,0,0,37,46,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,Bareland,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,Grassland,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHP_M_R,Wetland,0,2,13,15,76,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHP_M_R,Forest,0,3,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHP_M_R,Water,0,0,0,41,244,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHP_M_R,Grassland,0,0,0,0,5,0,0,0,0,0
