Dataset,MajorityClass,Forest,Water,Wetland,Grassland,Built-up,Bareland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUR_M_R,Water,0,0,0,0,0,0,0,0,250,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUR_M_R,Forest,0,302,0,0,0,0,0,0,108,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUR_M_R,Forest,0,91,204,199,53,226,289,0,0,13,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUR_M_R,Grassland,75,3,60,0,25,48,145,0,0,4,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUR_M_R,Wetland,78,68,0,34,8,99,92,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUR_M_R,Bareland,3,0,2,4,8,0,24,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUR_M_R,Water,126,0,296,85,36,216,226,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUR_M_R,Cropland,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUR_M_R,Built-up,12,0,3,14,0,3,38,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUR_M_R,Grassland,71,39,87,0,73,1,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUR_M_R,Bareland,0,9,4,0,21,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUR_M_R,Wetland,135,185,0,0,76,5,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUR_M_R,Forest,0,364,210,0,138,1,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUR_M_R,Water,79,0,246,0,30,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUR_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUR_M_R,Wetland,560,217,0,162,0,5,0,0,0,11,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUR_M_R,Forest,0,28,1,37,0,0,0,0,0,30,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUR_M_R,Water,593,0,49,40,0,26,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUR_M_R,Grassland,148,26,4,0,0,0,0,0,0,30,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUR_M_R,Bareland,10,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUR_M_R,Built-up,17,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUR_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
