Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,Cropland,0,0,0,0,0,7,39,0,218,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,Built-up,0,0,0,0,0,0,17,0,32,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,Grassland,0,0,0,0,0,0,40,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,Shrubland,0,0,0,0,0,0,1,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,Cropland,0,0,0,0,0,0,16,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,Wetland,0,0,0,0,0,0,33,0,0,21,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,Water,0,0,0,0,0,0,0,0,0,137,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,Forest,0,0,0,0,0,0,190,0,0,75,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,Bareland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,Grassland,0,170,273,82,13,21,37,361,0,0,29
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,Forest,35,0,397,137,74,178,138,624,0,0,27
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,Cropland,26,199,0,145,8,7,39,403,0,0,37
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,Bareland,0,63,159,87,0,0,16,159,0,0,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,Wetland,0,18,0,0,1,0,4,27,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,Built-up,0,29,137,0,1,0,17,128,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,Water,8,196,105,23,26,180,0,247,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,Shrubland,0,1,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,Grassland,0,127,506,135,3,0,57,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,Shrubland,0,28,69,31,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,Forest,0,0,484,262,1,6,355,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,Wetland,0,67,69,7,0,0,82,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,Bareland,0,46,207,85,0,0,28,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,Built-up,0,5,59,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,Water,0,90,183,49,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,Cropland,0,127,0,167,24,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,Cropland,159,190,0,0,195,1,30,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,Forest,75,0,140,0,101,2,55,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,Shrubland,12,59,17,0,23,1,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,Bareland,7,37,18,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,Built-up,25,73,62,0,67,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,Water,18,319,18,0,12,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,Wetland,6,162,4,0,0,0,44,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,Grassland,0,149,80,0,72,2,28,0,0,0,0
