Dataset,MajorityClass,Grassland,Forest,Water,Built-up,Bareland,Wetland,Cropland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,Cropland,0,0,1,0,0,5,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBR_M_R,Bareland,1,7,14,1,0,24,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBR_M_R,Built-up,15,12,9,0,9,0,1,0,51,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBR_M_R,Forest,126,0,93,75,130,212,74,0,255,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBR_M_R,Water,61,105,0,36,92,254,41,0,117,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBR_M_R,Cropland,5,11,1,1,7,5,0,0,25,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBR_M_R,Wetland,2,8,7,1,2,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBR_M_R,Grassland,0,22,6,4,8,11,8,0,30,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,Shrubland,0,0,3,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,Grassland,0,0,24,0,0,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,Wetland,0,0,90,0,0,0,0,0,0,0,83,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,Water,0,0,0,0,0,0,0,0,0,0,331,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,Bareland,0,0,11,0,0,0,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,Forest,0,0,312,0,0,0,0,0,0,0,234,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,Built-up,0,0,25,0,0,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,Cropland,0,0,12,0,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBR_M_R,Wetland,0,52,43,22,17,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBR_M_R,Water,0,163,0,50,78,39,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBR_M_R,Forest,0,0,196,76,4,41,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBR_M_R,Grassland,0,33,13,20,0,8,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBR_M_R,Built-up,0,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBR_M_R,Cropland,0,8,7,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBR_M_R,Bareland,0,2,12,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBR_M_R,Forest,35,0,20,0,4,1,34,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBR_M_R,Water,61,488,0,0,126,13,84,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBR_M_R,Wetland,33,120,26,0,16,0,45,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBR_M_R,Grassland,0,19,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBR_M_R,Built-up,0,28,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBR_M_R,Bareland,0,5,0,0,0,0,0,0,0,0,0,0
