Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Water,Built-up,Grassland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,Grassland,30,36,33,100,15,59,0,115,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,Wetland,4,0,13,12,12,2,5,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,Forest,51,244,141,0,87,94,115,180,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,Bareland,1,46,0,8,5,7,2,23,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,Water,8,401,131,139,0,43,81,133,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,Built-up,4,8,1,19,1,0,8,47,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,Cropland,0,0,0,3,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGM_M_R,Grassland,0,0,1,80,26,66,0,30,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGM_M_R,Forest,0,17,5,0,229,99,0,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGM_M_R,Water,0,54,91,164,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGM_M_R,Wetland,0,0,54,176,161,53,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGM_M_R,Bareland,0,0,0,8,9,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGM_M_R,Cropland,0,0,0,8,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,Forest,0,0,5,0,10,0,18,25,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,Water,0,36,111,573,0,0,96,106,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,Wetland,0,0,49,326,45,0,76,108,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,Bareland,0,0,0,12,0,0,3,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,Built-up,0,0,1,22,0,0,1,5,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,Grassland,0,0,0,138,25,0,0,43,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0
