Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,Shrubland,0,0,0,0,0,0,0,0,54,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,Wetland,0,0,0,0,0,0,7,0,199,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,Grassland,0,0,125,0,0,0,61,0,475,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,Forest,0,0,415,0,0,0,175,0,854,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,Water,0,0,373,0,0,0,0,0,353,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,Built-up,0,0,32,0,0,0,11,0,32,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,Cropland,0,0,18,0,0,0,5,0,33,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,Bareland,0,0,37,0,0,0,28,0,36,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,Grassland,0,132,183,235,515,107,92,243,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,Non_Wetland,5,0,11,0,2,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,Wetland,124,68,0,11,212,3,95,64,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,Forest,823,0,421,174,825,159,320,506,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,Bareland,77,3,4,132,0,33,65,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,Built-up,177,13,15,52,288,0,27,60,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,Water,232,150,324,37,473,25,0,104,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,Shrubland,41,6,18,11,51,16,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,Cropland,241,89,17,0,355,84,49,75,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,Grassland,0,0,0,0,0,0,152,0,0,58,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,Forest,0,0,0,0,0,0,199,0,0,156,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,Bareland,0,0,0,0,0,0,30,0,0,25,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,Shrubland,0,0,0,0,0,0,5,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,Cropland,0,0,0,0,0,0,48,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,Water,0,0,0,0,0,0,0,0,0,292,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,Wetland,0,0,0,0,0,0,86,0,0,80,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,Built-up,0,0,0,0,0,0,12,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,Grassland,0,313,125,186,169,176,61,477,0,0,13
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,Bareland,167,109,37,131,0,169,28,276,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,Forest,635,0,415,231,323,260,175,699,0,0,31
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,Wetland,17,45,0,3,31,3,7,54,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,Built-up,139,84,32,104,24,0,11,243,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,Water,206,222,373,70,182,38,0,321,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,Cropland,247,189,18,0,53,137,5,325,0,0,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,Shrubland,3,7,0,5,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,Grassland,0,247,68,608,24,283,161,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,Forest,0,0,121,558,9,445,356,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,Bareland,0,63,10,245,0,218,48,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,Built-up,0,23,1,69,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,Water,0,66,54,39,40,81,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,Shrubland,0,24,0,26,0,29,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,Wetland,0,50,0,70,1,52,127,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,Cropland,0,55,0,0,8,53,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,Wetland,100,268,0,13,6,0,147,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,Forest,169,0,41,189,160,0,123,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,Shrubland,24,67,3,19,5,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,Cropland,71,78,1,0,147,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,Bareland,17,72,5,35,0,0,47,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,Water,34,251,44,13,68,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,Built-up,24,190,2,153,100,0,28,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,Grassland,0,395,38,226,188,0,165,0,0,0,0
