Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Grassland,Wetland,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,Forest,0,0,28,45,71,149,0,0,0,348,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,Wetland,10,0,0,1,0,0,0,0,0,27,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,Built-up,22,0,0,0,9,0,0,0,0,49,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,Water,213,1,9,0,1,232,0,0,0,184,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,Cropland,1,0,0,0,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,Bareland,26,0,39,52,0,27,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,Grassland,60,0,27,22,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,Wetland,45,5,6,108,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,Water,34,48,1,0,0,26,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,Forest,0,2,89,231,0,40,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,Cropland,1,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCG_M_R,Bareland,59,0,0,43,27,1,25,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCG_M_R,Forest,0,18,0,87,33,0,49,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCG_M_R,Wetland,154,5,0,56,27,0,5,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCG_M_R,Water,240,36,0,0,11,3,9,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCG_M_R,Grassland,55,6,0,8,0,0,25,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCG_M_R,Built-up,15,0,0,1,0,0,3,0,0,0,0
