Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Forest,Cropland,Bareland,Built-up,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,Forest,0,70,158,83,0,1,33,0,49,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,Grassland,0,3,22,0,53,23,25,6,45,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,Wetland,0,26,0,56,71,14,39,3,69,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,Water,0,0,260,36,94,17,35,8,56,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,Bareland,0,1,44,13,13,6,0,5,23,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,Forest,0,46,157,84,0,57,77,10,100,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,Cropland,0,0,6,15,9,0,5,3,16,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,Built-up,0,0,1,3,2,6,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,Permanent_ice_and_snow,0,0,0,3,3,1,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,Shrubland,0,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,Grassland,0,34,0,0,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,Cropland,0,7,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,Bareland,0,33,0,0,0,0,0,0,0,0,13,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,Wetland,0,185,0,0,0,0,0,0,0,0,126,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,Water,0,0,0,0,0,0,0,0,0,0,212,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,Forest,0,106,0,0,0,0,0,0,0,0,72,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LML_M_R,Grassland,0,19,40,0,29,28,1,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LML_M_R,Wetland,0,179,0,0,115,32,28,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LML_M_R,Water,0,0,76,0,37,4,44,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LML_M_R,Forest,0,169,77,0,0,17,8,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LML_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LML_M_R,Cropland,0,1,5,0,4,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LML_M_R,Bareland,0,7,5,0,4,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,Wetland,0,102,0,128,324,34,56,0,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,Water,0,0,34,54,231,10,49,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,Shrubland,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,Cropland,0,0,0,2,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,Built-up,0,0,0,1,5,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,Forest,0,17,13,35,0,11,6,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,Grassland,0,3,8,0,27,6,6,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,Bareland,0,2,1,0,0,0,0,0,0,0,0,0
