Dataset,MajorityClass,Forest,Water,Grassland,Bareland,Built-up,Wetland,Shrubland,Non_Wetland,Cropland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEM_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEM_M_R,Bareland,0,4,0,0,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEM_M_R,Water,0,0,0,0,0,0,0,0,0,0,118
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEM_M_R,Forest,0,173,0,0,6,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEM_M_R,Bareland,3,2,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEM_M_R,Grassland,11,3,0,0,3,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEM_M_R,Wetland,44,37,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEM_M_R,Water,98,0,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEM_M_R,Forest,0,0,2,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEM_M_R,Water,343,0,3,43,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEM_M_R,Grassland,21,1,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEM_M_R,Wetland,76,6,0,8,0,0,0,0,0,0,0
