Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,Non_Wetland,0,3,1,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,Wetland,16,0,28,0,225,0,200,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,Forest,0,329,138,1,136,50,384,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,Grassland,33,188,138,8,61,56,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,Shrubland,7,29,18,0,16,10,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,Water,50,196,38,0,0,2,140,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,Cropland,0,22,24,1,10,0,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,Bareland,0,22,0,0,9,9,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,Built-up,0,7,21,0,0,4,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,Grassland,0,48,0,0,5,0,0,0,471,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,Wetland,0,0,0,0,23,0,0,0,504,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,Shrubland,0,0,0,0,0,0,0,0,62,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,Water,0,222,0,0,0,0,0,0,348,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,Forest,0,133,0,0,57,0,0,0,645,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,Bareland,0,6,0,0,0,0,0,0,67,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,Cropland,0,1,0,0,0,0,0,0,59,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,Built-up,0,0,0,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,Wetland,0,0,0,0,249,0,0,0,0,65,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,Shrubland,0,0,0,0,10,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,Grassland,0,0,0,0,79,0,0,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,Bareland,0,0,0,0,15,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,Water,0,0,0,0,0,0,0,0,0,126,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,Forest,0,0,0,0,154,0,0,0,0,40,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,Cropland,0,0,0,0,10,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,Grassland,171,48,28,47,5,41,0,465,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,Forest,0,133,18,54,57,48,139,468,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,Wetland,75,0,8,9,23,5,36,346,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,Water,165,222,2,3,0,5,39,435,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,Bareland,15,6,0,6,0,1,15,119,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,Built-up,14,0,0,0,0,2,8,35,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,Cropland,25,1,1,0,0,0,12,105,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRH_M_R,Grassland,97,23,3,42,46,257,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRH_M_R,Wetland,37,0,9,0,74,200,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRH_M_R,Forest,0,23,0,47,170,92,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRH_M_R,Bareland,6,2,0,7,5,28,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRH_M_R,Water,30,15,15,1,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRH_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRH_M_R,Cropland,4,2,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,Wetland,142,0,102,0,159,49,85,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,Forest,0,33,42,0,86,50,58,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,Bareland,3,1,0,0,2,1,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,Water,98,67,26,0,0,4,25,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,Shrubland,7,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,Grassland,134,50,115,0,57,71,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,Built-up,9,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,Cropland,3,1,13,0,1,0,0,0,0,0,0
