Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Water,Non_Water,Shrubland,Wetland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,Cropland,0,1,12,18,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,Bareland,0,0,16,24,2,43,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTD_M_R,Bareland,0,0,0,0,0,15,0,0,23,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTD_M_R,Water,0,0,0,0,0,0,0,0,43,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTD_M_R,Forest,0,0,0,0,0,15,0,0,27,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTD_M_R,Grassland,0,0,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTD_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTD_M_R,Wetland,0,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,Water,10,58,0,80,17,0,0,0,7,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,Forest,14,25,0,0,24,23,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,Cropland,4,3,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,Built-up,1,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,Wetland,2,9,0,14,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,Grassland,0,2,0,8,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,Bareland,0,0,0,24,6,19,0,0,2,0,0
