Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Lichens_and_Mosses,0,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Forest,33,1058,8,352,0,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,Grassland,34,0,0,28,0,0,0,453,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,Wetland,0,0,0,13,0,0,0,276,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,Forest,304,0,0,136,0,0,0,1354,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,Water,465,0,0,0,0,0,0,488,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,Shrubland,0,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,Cropland,0,0,0,0,0,0,0,58,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,Bareland,15,0,0,2,0,0,0,47,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,Built-up,13,0,0,25,0,0,0,157,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,Non_Wetland,9,1,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,Forest,785,280,928,527,0,209,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,Grassland,261,0,278,118,2,67,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,Shrubland,12,3,23,9,2,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,Water,445,18,548,0,55,139,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,Cropland,36,5,65,15,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,Wetland,0,13,151,129,10,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,Bareland,14,4,0,12,1,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,Built-up,79,20,236,60,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,Water,0,0,0,0,0,0,0,0,802,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,Grassland,0,0,0,116,0,0,0,0,113,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,Shrubland,0,0,0,8,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,Bareland,0,0,0,26,0,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,Wetland,0,0,0,265,0,0,0,0,232,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,Built-up,0,0,0,129,0,0,0,0,40,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,Forest,0,0,0,559,0,0,0,0,391,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,Cropland,0,0,0,11,0,0,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,Grassland,34,0,66,28,120,103,23,0,0,212,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,Forest,304,391,372,136,0,347,173,0,0,574,42,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,Wetland,0,24,48,13,38,24,7,0,0,88,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,Water,465,164,309,0,245,221,50,0,0,392,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,Bareland,15,32,0,2,24,39,2,0,0,64,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,Built-up,13,100,45,25,69,0,16,0,0,165,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,Cropland,0,16,15,0,25,27,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,Grassland,56,0,3,78,224,140,49,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,Wetland,0,0,11,137,194,69,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,Bareland,3,0,0,18,29,64,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,Built-up,0,0,7,9,14,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,Water,150,0,73,0,346,194,26,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,Forest,162,0,13,370,0,431,93,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,Cropland,5,0,0,12,20,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCR_M_R,Water,49,233,115,0,989,0,179,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCR_M_R,Wetland,0,153,14,99,404,0,99,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCR_M_R,Forest,3,64,21,67,0,0,79,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCR_M_R,Bareland,0,8,0,5,67,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCR_M_R,Built-up,0,10,25,8,189,0,57,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCR_M_R,Grassland,13,0,23,28,203,0,75,0,0,0,0,0
