Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Wetland,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,Non_Wetland,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,Cropland,172,0,74,79,9,28,344,0,33,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,Bareland,85,0,0,78,17,2,180,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,Built-up,31,0,61,0,5,9,78,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,Water,235,0,31,0,0,120,499,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,Forest,0,0,109,90,156,248,729,0,34,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,Shrubland,4,0,3,8,3,2,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,Wetland,133,0,20,2,164,0,187,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Non_Wetland,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Forest,0,231,576,51,292,185,628,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Grassland,96,292,403,76,79,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Built-up,1,84,175,0,11,2,83,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Water,120,45,301,0,0,121,214,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Shrubland,0,15,23,3,4,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Bareland,7,113,0,20,17,2,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Wetland,68,11,133,0,222,0,114,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Lichens_and_Mosses,0,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,Cropland,53,0,212,51,13,16,169,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,Grassland,0,0,0,0,151,0,0,0,0,36,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,Forest,0,0,0,0,161,0,0,0,0,100,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,Water,0,0,0,0,0,0,0,0,0,210,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,Wetland,0,0,0,0,78,0,0,0,0,93,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,Bareland,0,0,0,0,16,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,Cropland,0,0,0,0,52,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,Grassland,239,17,133,109,29,121,0,0,374,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,Bareland,69,0,0,85,4,12,152,0,173,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,Built-up,36,0,17,0,0,4,91,0,125,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,Forest,0,10,249,117,91,289,443,0,363,0,28,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,Cropland,186,0,69,106,10,28,245,0,285,0,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,Water,188,0,213,20,0,346,162,0,187,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,Wetland,45,0,32,0,16,0,22,0,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,Grassland,221,688,45,167,185,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,Forest,0,453,6,156,330,151,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,Bareland,41,234,0,107,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,Built-up,2,72,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,Shrubland,0,3,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,Wetland,101,97,0,26,152,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,Water,63,161,4,12,0,104,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,Cropland,44,0,27,39,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,Cropland,36,0,126,0,13,0,51,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,Forest,0,148,129,0,76,65,91,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,Bareland,54,24,0,0,31,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,Built-up,79,71,54,0,3,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,Water,255,9,20,0,0,148,35,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,Wetland,210,6,10,0,97,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,Grassland,323,186,166,0,135,69,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,Shrubland,1,1,1,0,1,0,0,0,0,0,0,0
