Dataset,MajorityClass,Forest,Built-up,Cropland,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Built-up,7,0,11,57,278,12,145,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Non_Water,0,0,0,0,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Water,106,56,6,861,680,0,839,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Shrubland,0,5,4,15,21,3,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Wetland,28,1,0,0,311,406,753,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Bareland,1,18,15,20,0,23,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Cropland,11,51,0,42,242,8,186,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Lichens_and_Mosses,0,0,0,0,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Permanent_ice_and_snow,0,0,0,1,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,Grassland,0,0,0,112,0,65,0,0,1394,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,Wetland,0,0,0,0,0,101,0,0,1571,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,Forest,0,0,0,282,0,133,0,0,1979,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,Water,0,0,0,390,0,0,0,0,1362,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,Shrubland,0,0,0,0,0,0,0,0,23,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,Cropland,0,0,0,2,0,6,0,0,129,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,Bareland,0,0,0,11,0,24,0,0,77,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,Built-up,0,0,0,7,0,13,0,0,100,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,Grassland,0,0,0,0,0,400,0,0,0,183,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,Water,0,0,0,0,0,0,0,0,0,663,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,Forest,0,0,0,0,0,543,0,0,0,320,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,Wetland,0,0,0,0,0,640,0,0,0,313,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,Bareland,0,0,0,0,0,71,0,0,0,44,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,Shrubland,0,0,0,0,0,2,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,Cropland,0,0,0,0,0,8,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,Built-up,0,0,0,0,0,30,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLR_M_R,Grassland,353,286,336,112,323,65,0,390,0,0,26,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLR_M_R,Wetland,235,97,140,0,388,101,251,142,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLR_M_R,Bareland,51,220,76,11,0,24,41,149,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLR_M_R,Built-up,51,0,91,7,6,13,54,102,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLR_M_R,Forest,0,422,377,282,507,133,467,432,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLR_M_R,Water,341,386,213,390,583,0,401,302,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLR_M_R,Cropland,71,82,0,2,11,6,50,106,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLR_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLR_M_R,Grassland,213,146,572,751,6,195,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLR_M_R,Forest,0,264,281,710,3,557,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLR_M_R,Wetland,148,18,32,0,0,147,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLR_M_R,Bareland,54,98,126,28,0,72,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLR_M_R,Built-up,26,0,71,8,17,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLR_M_R,Water,145,81,142,988,24,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLR_M_R,Cropland,13,20,0,12,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLR_M_R,Cropland,49,0,0,0,95,5,49,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLR_M_R,Forest,0,0,95,60,36,91,114,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLR_M_R,Wetland,656,0,43,0,19,282,267,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLR_M_R,Bareland,69,0,25,6,0,45,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLR_M_R,Water,872,0,33,300,62,0,193,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLR_M_R,Built-up,186,0,99,0,78,43,29,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLR_M_R,Grassland,506,0,185,154,128,238,0,0,0,0,0,40
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLR_M_R,Shrubland,3,0,1,0,0,0,0,0,0,0,0,0
