Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Water,Built-up,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,Water,0,0,0,0,0,0,0,0,0,50,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,Grassland,0,0,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,Cropland,0,0,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,Forest,0,0,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,Permanent_ice_and_snow,0,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,Water,2,7,33,29,0,13,0,3,0,0,44,18
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,Bareland,16,9,31,0,10,32,0,6,0,0,48,24
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,Built-up,1,1,1,3,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,Grassland,0,6,4,8,0,4,0,2,0,0,10,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,Cropland,5,0,0,11,0,5,0,3,0,0,16,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,Wetland,0,1,0,2,0,0,0,1,0,0,8,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,Permanent_ice_and_snow,1,0,4,2,0,1,0,0,0,0,4,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,Forest,1,6,0,5,0,2,0,0,0,0,17,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,Grassland,0,3,0,14,4,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,Wetland,0,0,0,21,8,3,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,Bareland,0,12,6,0,21,20,4,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,Water,0,4,6,51,0,6,4,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,Cropland,0,0,0,9,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,Permanent_ice_and_snow,0,0,0,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,Forest,0,2,0,9,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,Cropland,1,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,Wetland,3,5,0,17,11,0,7,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,Bareland,4,20,2,0,23,0,23,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,Water,3,0,13,32,0,0,15,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,Grassland,0,2,1,5,3,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,Built-up,0,2,0,6,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,Forest,0,1,2,0,0,0,0,0,0,0,0,0
