Dataset,MajorityClass,Grassland,Bareland,Water,Wetland,Built-up,Permanent_ice_and_snow,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Forest,Non_Wetland
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,Water,0,67,0,37,1,17,9,0,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,Bareland,0,0,26,18,13,13,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,Permanent_ice_and_snow,0,5,2,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,Forest,0,9,5,10,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFR_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0,51
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFR_M_R,Grassland,0,0,1,6,0,0,0,0,0,0,0,16
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFR_M_R,Bareland,0,0,12,35,0,0,0,0,0,0,0,33
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFR_M_R,Water,0,0,0,36,0,0,0,0,0,0,0,29
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFR_M_R,Permanent_ice_and_snow,0,0,2,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFR_M_R,Forest,0,0,0,0,0,0,0,0,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,Water,18,44,0,17,0,28,0,0,0,0,8,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,Wetland,13,22,17,0,0,15,5,0,0,0,14,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,Bareland,11,0,26,12,0,20,22,0,0,0,12,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,Grassland,0,3,4,0,0,0,4,0,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,Built-up,0,4,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,Cropland,0,1,1,0,0,1,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,Forest,0,0,1,0,0,0,0,0,0,0,0,0
