Dataset,MajorityClass,Shrubland,Grassland,Wetland,Forest,Water,Bareland,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWU_M_R,Shrubland,0,0,4,25,0,0,7,37,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWU_M_R,Grassland,0,0,83,268,97,103,81,581,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWU_M_R,Wetland,0,0,0,330,229,89,37,512,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWU_M_R,Water,0,0,246,169,0,278,34,359,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWU_M_R,Built-up,0,0,0,1,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWU_M_R,Bareland,0,0,20,30,60,0,7,41,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWU_M_R,Cropland,0,0,1,36,7,15,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWU_M_R,Wetland,0,385,0,753,298,320,0,254,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWU_M_R,Forest,0,123,29,0,61,49,0,137,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWU_M_R,Shrubland,0,26,1,68,5,1,0,22,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWU_M_R,Water,0,187,122,544,0,608,0,181,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWU_M_R,Cropland,0,28,3,49,12,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWU_M_R,Grassland,0,0,29,274,41,233,0,189,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWU_M_R,Built-up,0,0,0,3,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWU_M_R,Bareland,0,0,0,4,2,0,0,1,0,0,0,0
