Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Wetland,Water,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEH_M_R,Water,35,72,15,104,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEH_M_R,Built-up,6,17,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEH_M_R,Cropland,8,0,0,21,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEH_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEH_M_R,Forest,0,65,14,0,3,49,41,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEH_M_R,Water,197,11,54,0,2,0,28,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEH_M_R,Bareland,14,6,0,0,0,13,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEH_M_R,Built-up,45,37,13,0,0,10,15,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEH_M_R,Cropland,10,0,9,0,0,5,9,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEH_M_R,Wetland,41,7,6,0,0,31,12,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEH_M_R,Grassland,179,90,36,0,9,95,0,0,0,0,0,25
